stamp_sec,method,IDF1,IDSW,Frag,MOTA,MedErr,RMSE,P95,FP,FN,GT,frame_GT,frame_pred,frame_matches,fresh,nonempty,pred_age_sec,pred_frame,min_gt_to_pred,mean_gt_to_pred,p95_gt_to_pred
529.4,ab3dmot,1,0,0,0.2,1.931116961,1.931116961,1.931116961,0,4,5,5,1,1,1,1,0.112,world,1.931116961,13.87929297,19.22267032
529.5,ours,1,0,0,0.2,1.908565122,1.908565122,1.908565122,0,4,5,5,1,1,1,1,0.036,world,1.908565122,13.89029318,19.25259373
529.5,ab3dmot,1,0,0,0.2,1.922798339,1.922816333,1.930285099,0,8,10,5,1,1,1,1,0.08,world,1.914479717,13.88491854,19.24103498
529.588,ours,1,0,0,0.2,1.904768872,1.904772655,1.908185497,0,8,10,5,1,1,1,1,0.024,world,1.900972623,13.8911125,19.25713678
529.588,ab3dmot,1,0,0,0.2,1.914479717,1.912441181,1.929453237,0,12,15,5,1,1,1,1,0.036,world,1.891520158,13.89857049,19.27105672
529.68,ours,1,0,0,0.2,1.900972623,1.899344808,1.907805872,0,12,15,5,1,1,1,1,0.052,world,1.888442312,13.89405382,19.26629366
529.68,ab3dmot,1,0,0,0.2,1.902999937,1.903988836,1.928621374,0,16,20,5,1,1,1,1,0.06,world,1.878403614,13.90275206,19.28394742
529.78,ours,1,0,0,0.2,1.894707467,1.893666866,1.907426247,0,16,20,5,1,1,1,1,0.06,world,1.876529959,13.89844381,19.27887119
529.78,ab3dmot,1,0,0,0.2,1.891520158,1.896598366,1.927789512,0,20,25,5,1,1,1,1,0.096,world,1.866743918,13.90699048,19.29620261
529.872,ours,1,0,0,0.2,1.888442312,1.888353619,1.907046622,0,20,25,5,1,1,1,1,0.048,world,1.866949426,13.90373185,19.29192034
529.872,ab3dmot,1,0,0,0.2,1.884961886,1.888893665,1.92695765,0,24,30,5,1,1,1,1,0.056,world,1.849888877,13.91874715,19.32209323
529.98,ours,1,0,0,0.2,1.882486136,1.881809942,1.906666997,0,24,30,5,1,1,1,1,0.06,world,1.84874417,13.9154792,19.3172849
529.98,ab3dmot,1,0,0,0.2,1.878403614,1.880812624,1.926125788,0,28,35,5,1,1,1,1,0.096,world,1.831577798,13.93040752,19.34647716
530.072,ours,1,0,0,0.2,1.876529959,1.874958467,1.906287372,0,28,35,5,1,1,1,1,0.056,world,1.833311978,13.92695322,19.34219776
530.072,ab3dmot,1,0,0,0.2,1.872573766,1.87352587,1.925293926,0,32,40,5,1,1,1,1,0.088,world,1.821702663,13.93829465,19.36581376
530.164,ours,1,0,0,0.2,1.871739692,1.869119702,1.905907747,0,32,40,5,1,1,1,1,0.052,world,1.827726164,13.93291272,19.3572328
530.164,ab3dmot,1,0,0,0.2,1.866743918,1.867581637,1.924462063,0,36,45,5,1,1,1,1,0.084,world,1.819328738,13.94211672,19.37731015
530.268,ours,1,0,0,0.2,1.866949426,1.864188814,1.905528122,0,36,45,5,1,1,1,1,0.064,world,1.824261964,13.93770037,19.36946535
530.268,ab3dmot,1,0,0,0.2,1.858316398,1.862777558,1.923630201,0,40,50,5,1,1,1,1,0.088,world,1.818969971,13.94378455,19.38287536
530.376,ours,1,0,0,0.2,1.857846798,1.860015633,1.905148497,0,40,50,5,1,1,1,1,0.064,world,1.822026935,13.94173621,19.37808991
530.376,ab3dmot,1,0,0,0.2,1.849888877,1.858740154,1.922798339,0,44,55,5,1,1,1,1,0.096,world,1.817873003,13.94651535,19.38855655
530.476,ours,1,0,0,0.2,1.84874417,1.856431634,1.904768872,0,44,55,5,1,1,1,1,0.064,world,1.82020355,13.94666563,19.38753619
530.476,ab3dmot,1,0,0,0.2,1.840733337,1.855275318,1.921966477,0,48,60,5,1,1,1,1,0.096,world,1.816726042,13.95060668,19.39605072
530.56,ours,1,0,0,0.2,1.841028074,1.853230071,1.904389247,0,48,60,5,1,1,1,1,0.06,world,1.817640727,13.95223291,19.39813614
530.56,ab3dmot,1,0,0,0.2,1.831577798,1.852194756,1.921134614,0,52,65,5,1,1,1,1,0.084,world,1.814820185,13.95553079,19.40529112
530.652,ours,1,0,0,0.2,1.833311978,1.85045653,1.904009622,0,52,65,5,1,1,1,1,0.052,world,1.816843825,13.95933113,19.41133404
