stamp_sec,method,N,MedErr,RMSE,P95,MeanLogDet
528.48,ci,0,nan,nan,nan,nan
528.48,ftci,0,nan,nan,nan,nan
528.504,ci,0,nan,nan,nan,nan
528.504,ftci,0,nan,nan,nan,nan
528.596,ci,0,nan,nan,nan,nan
528.596,ftci,0,nan,nan,nan,nan
528.664,ci,0,nan,nan,nan,nan
528.664,ftci,0,nan,nan,nan,nan
528.696,ci,0,nan,nan,nan,nan
528.696,ftci,0,nan,nan,nan,nan
528.708,ci,0,nan,nan,nan,nan
528.708,ftci,0,nan,nan,nan,nan
528.792,ci,0,nan,nan,nan,nan
528.792,ftci,0,nan,nan,nan,nan
528.836,ci,0,nan,nan,nan,nan
528.836,ftci,0,nan,nan,nan,nan
528.9,ci,2,3.30196,3.48067,4.29284,-4.47043
528.9,ftci,2,3.30196,3.48067,4.29284,-4.47043
528.992,ci,4,3.30166,3.47872,4.40285,-4.62429
528.992,ftci,4,3.30196,3.48272,4.41245,-4.9871
529.036,ci,6,3.30166,3.47824,4.40433,-4.7611
529.036,ftci,6,3.30196,3.48257,4.41362,-5.15933
529.128,ci,8,3.30166,3.47734,4.40452,-4.87684
529.128,ftci,8,3.30196,3.48131,4.41342,-5.24544
529.2,ci,10,3.30166,3.4778,4.41016,-4.98672
529.2,ftci,10,3.30196,3.48438,4.42718,-5.34268
529.288,ci,12,3.30166,3.47957,4.42108,-5.08161
529.288,ftci,12,3.30196,3.48775,4.4439,-5.40571
529.388,ci,14,3.30166,3.48174,4.43331,-5.16045
529.388,ftci,14,3.30196,3.49067,4.45433,-5.45093
529.456,ci,16,3.30166,3.4839,4.44322,-5.22593
529.456,ftci,16,3.30196,3.49273,4.4602,-5.48703
529.56,ci,18,3.30166,3.48143,4.45071,-5.28094
529.56,ftci,18,3.30196,3.49038,4.46244,-5.5166
529.62,ci,20,3.15556,3.4568,4.44976,-5.14734
529.62,ftci,20,3.30196,3.48849,4.47142,-5.53877
529.716,ci,22,3.15556,3.43664,4.44888,-5.05882
529.716,ftci,22,3.26235,3.47828,4.47086,-5.56065
529.816,ci,24,3.15556,3.42007,4.44807,-5.00406
529.816,ftci,24,3.24529,3.46796,4.46981,-5.58582
529.912,ci,26,3.15556,3.40641,4.44726,-4.97787
529.912,ftci,26,3.24529,3.45979,4.46876,-5.61003
530.016,ci,28,3.15556,3.39482,4.44645,-4.97731
530.016,ftci,28,3.24529,3.45254,4.4677,-5.63485
530.104,ci,30,3.15556,3.3847,4.44565,-5.00031
530.104,ftci,30,3.24529,3.44664,4.46665,-5.66122
530.2,ci,32,3.15556,3.37555,4.44484,-5.04024
530.2,ftci,32,3.24529,3.44179,4.4656,-5.68696
530.304,ci,34,3.15556,3.36706,4.44403,-5.088
530.304,ftci,34,3.24529,3.43759,4.46455,-5.71225
530.404,ci,36,3.15556,3.35922,4.44322,-5.13668
530.404,ftci,36,3.24529,3.43336,4.46349,-5.73557
530.5,ci,38,3.15556,3.35226,4.44242,-5.18024
530.5,ftci,38,3.24529,3.42919,4.46244,-5.75768
530.6,ci,40,3.15556,3.34594,4.44161,-5.22657
530.6,ftci,40,3.24529,3.4253,4.46139,-5.78008
530.684,ci,42,3.15556,3.34028,4.4406,-5.27116
530.684,ftci,42,3.24529,3.4217,4.46082,-5.80251
530.776,ci,44,3.15556,3.33517,4.43938,-5.31316
530.776,ftci,44,3.24529,3.41859,4.46073,-5.82409
530.86,ci,46,3.15556,3.33069,4.43817,-5.35247
530.86,ftci,46,3.24529,3.41595,4.46064,-5.84436
530.94,ci,48,3.15556,3.32671,4.43695,-5.3906
530.94,ftci,48,3.24529,3.41298,4.46055,-5.86438
531.004,ci,50,3.15556,3.32319,4.43574,-5.42742
531.004,ftci,50,3.24529,3.41021,4.46046,-5.88416
531.1,ci,52,3.15556,3.32006,4.43452,-5.46232
531.1,ftci,52,3.24521,3.40758,4.46037,-5.90285
531.204,ci,54,3.15556,3.31737,4.43331,-5.4952
531.204,ftci,54,3.24521,3.40552,4.46029,-5.92074
531.3,ci,56,3.15556,3.31513,4.43209,-5.52572
531.3,ftci,56,3.24521,3.40373,4.4602,-5.93697
531.368,ci,58,3.15556,3.31332,4.43088,-5.55571
531.368,ftci,58,3.24521,3.40182,4.46011,-5.95366
531.436,ci,60,3.15556,3.31181,4.42966,-5.58443
531.436,ftci,60,3.24521,3.40006,4.46002,-5.96963
531.516,ci,62,3.15556,3.31053,4.42833,-5.61133
531.516,ftci,62,3.24521,3.39856,4.45954,-5.98435
531.6,ci,64,3.15556,3.30948,4.42688,-5.63655
531.6,ftci,64,3.24521,3.39726,4.45867,-5.99822
531.668,ci,66,3.15556,3.30868,4.42543,-5.66082
531.668,ftci,66,3.24521,3.39605,4.45781,-6.01172
531.764,ci,68,3.15556,3.30901,4.42398,-5.6803
531.764,ftci,68,3.20711,3.39346,4.45694,-6.02035
531.836,ci,70,3.15556,3.3096,4.42253,-5.69849
531.836,ftci,70,3.20711,3.39141,4.45607,-6.0289
531.9,ci,72,3.15556,3.31018,4.42108,-5.71646
531.9,ftci,72,3.20711,3.39007,4.4552,-6.03773
532,ci,74,3.15556,3.31088,4.41963,-5.73473
532,ftci,74,3.20711,3.38939,4.45433,-6.04746
532.092,ci,76,3.15556,3.31177,4.41818,-5.75247
532.092,ftci,76,3.20711,3.3892,4.45346,-6.05683
532.16,ci,78,3.15556,3.31276,4.41673,-5.76953
532.16,ftci,78,3.20711,3.3894,4.4526,-6.06593
532.224,ci,80,3.15556,3.31386,4.41528,-5.78611
532.224,ftci,80,3.20711,3.38981,4.45173,-6.07499
532.3,ci,82,3.15556,3.31503,4.41407,-5.80194
532.3,ftci,82,3.20711,3.39045,4.45062,-6.08366
532.4,ci,84,3.15556,3.31627,4.41309,-5.81751
532.4,ftci,84,3.20711,3.39124,4.44928,-6.09262
532.492,ci,86,3.15556,3.31768,4.41211,-5.83241
532.492,ftci,86,3.20711,3.3922,4.44793,-6.10104
532.568,ci,88,3.15556,3.31912,4.41114,-5.84662
532.568,ftci,88,3.20711,3.39318,4.44659,-6.10905
532.652,ci,90,3.15556,3.32057,4.41016,-5.86009
532.652,ftci,90,3.20711,3.3943,4.44525,-6.11672
532.708,ci,92,3.15556,3.32208,4.40918,-5.87298
532.708,ftci,92,3.20711,3.39542,4.4439,-6.12401
532.8,ci,94,3.15556,3.32376,4.40821,-5.88563
532.8,ftci,94,3.20711,3.39669,4.44256,-6.13141
532.888,ci,96,3.15556,3.32553,4.40723,-5.8977
532.888,ftci,96,3.20711,3.39807,4.44121,-6.13834
532.952,ci,98,3.15556,3.32738,4.40625,-5.90906
532.952,ftci,98,3.20711,3.3995,4.43987,-6.14471
533.016,ci,100,3.15556,3.3293,4.40528,-5.91991
533.016,ftci,100,3.20711,3.40105,4.43853,-6.15091
533.1,ci,102,3.15556,3.33127,4.40475,-5.93044
533.1,ftci,102,3.20711,3.40253,4.43667,-6.15694
533.184,ci,104,3.15556,3.33336,4.40467,-5.94051
533.184,ftci,104,3.20711,3.40417,4.43429,-6.16266
533.264,ci,106,3.15556,3.3356,4.40459,-5.95022
533.264,ftci,106,3.21098,3.40593,4.43429,-6.1682
533.348,ci,108,3.15556,3.33793,4.40452,-5.95856
533.348,ftci,108,3.21098,3.40724,4.43287,-6.17192
533.416,ci,110,3.15855,3.34028,4.40444,-5.96674
533.416,ftci,110,3.21396,3.40864,4.43145,-6.17602
533.5,ci,112,3.16222,3.34258,4.40436,-5.97481
533.5,ftci,112,3.21844,3.41002,4.43002,-6.18018
533.584,ci,114,3.16575,3.34482,4.40428,-5.98273
533.584,ftci,114,3.22292,3.41141,4.4286,-6.1844
533.68,ci,116,3.17167,3.34702,4.4042,-5.99053
533.68,ftci,116,3.22929,3.41276,4.42718,-6.18866
533.76,ci,118,3.17528,3.34912,4.40413,-5.99812
533.76,ftci,118,3.23254,3.41404,4.42575,-6.19279
533.844,ci,120,3.18072,3.35114,4.40405,-6.00548
533.844,ftci,120,3.23852,3.41529,4.42433,-6.19689
533.908,ci,122,3.18156,3.35301,4.40395,-6.01276
533.908,ftci,122,3.2388,3.41641,4.42314,-6.20104
534,ci,124,3.18794,3.35496,4.40385,-6.01981
534,ftci,124,3.24277,3.4175,4.42219,-6.20497
534.092,ci,126,3.18855,3.35661,4.40374,-6.02653
534.092,ftci,126,3.2446,3.41846,4.42125,-6.2087
534.172,ci,128,3.19354,3.35819,4.40363,-6.03323
534.172,ftci,128,3.24934,3.41934,4.4203,-6.21261
534.244,ci,130,3.19634,3.35968,4.40353,-6.03962
534.244,ftci,130,3.25183,3.42014,4.41935,-6.21618
534.304,ci,132,3.19749,3.36111,4.40342,-6.04593
534.304,ftci,132,3.2526,3.42089,4.4184,-6.21986
534.4,ci,134,3.20168,3.36253,4.40331,-6.05207
534.4,ftci,134,3.25662,3.42161,4.41745,-6.22347
534.496,ci,136,3.20484,3.36396,4.4032,-6.05806
