stamp,drone,source,x,y,z,,,,,,,,,,,,,,,,
0.02,drone2,raw,1,0,1.697648,,,,,,,,,,,,,,,,
0.02,drone3,raw,1,0.6,1.697648,,,,,,,,,,,,,,,,
0.02,drone1,raw,1,-0.6,1.697648,,,,,,,,,,,,,,,,
0.04,drone3,raw,1,0.6,1.691376,,,,,,,,,,,,,,,,
0.04,drone2,raw,1,0,1.691376,,,,,,,,,,,,,,,,
0.04,drone1,raw,1,-0.6,1.691376,,,,,,,,,,,,,,,,
0.06,drone2,raw,1,0,1.681184,,,,,,,,,,,,,,,,
0.06,drone3,raw,1,0.6,1.681184,,,,,,,,,,,,,,,,
0.06,drone1,raw,1,-0.6,1.681184,,,,,,,,,,,,,,,,
0.08,drone3,raw,1,0.6,1.667072,,,,,,,,,,,,,,,,
0.08,drone1,raw,1,-0.6,1.667072,,,,,,,,,,,,,,,,
0.08,drone2,raw,1,0,1.667072,,,,,,,,,,,,,,,,
0.1,drone3,raw,1,0.6,1.64904,,,,,,,,,,,,,,,,
0.1,drone1,raw,1,-0.6,1.64904,,,,,,,,,,,,,,,,
0.1,drone2,raw,1,0,1.64904,,,,,,,,,,,,,,,,
0.12,drone3,raw,1,0.6,1.627088,,,,,,,,,,,,,,,,
0.12,drone1,raw,1,-0.6,1.627088,,,,,,,,,,,,,,,,
0.12,drone2,raw,1,0,1.627088,,,,,,,,,,,,,,,,
0.14,drone3,raw,1,0.6,1.601216,,,,,,,,,,,,,,,,
0.14,drone2,raw,1,0,1.601216,,,,,,,,,,,,,,,,
0.14,drone1,raw,1,-0.6,1.601216,,,,,,,,,,,,,,,,
0.16,drone3,raw,1,0.6,1.571424,,,,,,,,,,,,,,,,
0.16,drone1,raw,1,-0.6,1.571424,,,,,,,,,,,,,,,,
0.16,drone2,raw,1,0,1.571424,,,,,,,,,,,,,,,,
0.18,drone3,raw,1,0.6,1.537712,,,,,,,,,,,,,,,,
0.18,drone1,raw,1,-0.6,1.537712,,,,,,,,,,,,,,,,
0.18,drone2,raw,1,0,1.537712,,,,,,,,,,,,,,,,
0.2,drone3,raw,1,0.6,1.50008,,,,,,,,,,,,,,,,
0.2,drone2,raw,1,0,1.50008,,,,,,,,,,,,,,,,
0.2,drone1,raw,1,-0.6,1.50008,,,,,,,,,,,,,,,,
0.22,drone1,raw,1,-0.6,1.458528,,,,,,,,,,,,,,,,
0.22,drone2,raw,1,0,1.458528,,,,,,,,,,,,,,,,
0.22,drone3,raw,1,0.6,1.458528,,,,,,,,,,,,,,,,
0.24,drone3,raw,0.9995,0.599998,1.418567,,,,,,,,,,,,,,,,
0.24,drone1,raw,0.9995,-0.600002,1.418566,,,,,,,,,,,,,,,,
0.24,drone2,raw,0.999005,-0.000003,1.423838,,,,,,,,,,,,,,,,
0.26,drone1,raw,0.996897,-0.600011,1.400496,,,,,,,,,,,,,,,,
0.26,drone3,raw,0.996897,0.599989,1.400504,,,,,,,,,,,,,,,,
0.26,drone2,raw,0.996393,-0.000013,1.405771,,,,,,,,,,,,,,,,
0.28,drone1,raw,0.994206,-0.60002,1.38521,,,,,,,,,,,,,,,,
0.28,drone2,raw,0.993693,-0.000022,1.390488,,,,,,,,,,,,,,,,
0.28,drone3,raw,0.994206,0.59998,1.385226,,,,,,,,,,,,,,,,
0.3,drone3,raw,0.991559,0.59997,1.373221,,,,,,,,,,,,,,,,
0.3,drone1,raw,0.991558,-0.60003,1.373199,,,,,,,,,,,,,,,,
