stamp,ns,odom_topic,frame_id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
14.852000,drone1,ekf/odom,/drone1/odom,0.950943,-0.607257,1.111921,-0.001854,-0.002599,0.000043,0.999995,0.037275,-0.028900,0.033707,0.000000,0.000000,0.000000
14.852000,drone1,ekf/odom,/drone1/odom,0.950155,-0.606948,1.111454,-0.001854,-0.002599,0.000043,0.999995,0.036178,-0.028471,0.033084,0.000000,0.000000,0.000000
14.852000,drone1,ekf/odom,/drone1/odom,0.949420,-0.606661,1.111017,-0.001854,-0.002599,0.000043,0.999995,0.035156,-0.028071,0.032501,0.000000,0.000000,0.000000
14.852000,drone1,ekf/odom,/drone1/odom,0.948732,-0.606392,1.110608,-0.001854,-0.002599,0.000043,0.999995,0.034200,-0.027697,0.031954,0.000000,0.000000,0.000000
14.900000,drone1,ekf/odom,/drone1/odom,0.949382,-0.608090,1.112640,-0.001868,-0.002424,0.000043,0.999995,0.028600,-0.042417,0.052561,0.000000,0.000000,0.000000
14.900000,drone1,ekf/odom,/drone1/odom,0.948661,-0.607753,1.112150,-0.001870,-0.002389,0.000043,0.999995,0.027597,-0.041948,0.051906,0.000000,0.000000,0.000000
14.900000,drone1,ekf/odom,/drone1/odom,0.947988,-0.607439,1.111692,-0.001870,-0.002389,0.000043,0.999995,0.026662,-0.041511,0.051293,0.000000,0.000000,0.000000
14.900000,drone1,ekf/odom,/drone1/odom,0.947359,-0.607145,1.111262,-0.001870,-0.002389,0.000043,0.999995,0.025787,-0.041102,0.050719,0.000000,0.000000,0.000000
14.952000,drone1,ekf/odom,/drone1/odom,0.948608,-0.609410,1.112195,-0.001883,-0.002215,0.000043,0.999996,0.037229,-0.050953,0.026900,0.000000,0.000000,0.000000
14.952000,drone1,ekf/odom,/drone1/odom,0.947920,-0.609024,1.111727,-0.001883,-0.002215,0.000043,0.999996,0.036272,-0.050416,0.026276,0.000000,0.000000,0.000000
14.952000,drone1,ekf/odom,/drone1/odom,0.947277,-0.608663,1.111290,-0.001886,-0.002163,0.000044,0.999996,0.035378,-0.049915,0.025692,0.000000,0.000000,0.000000
14.952000,drone1,ekf/odom,/drone1/odom,0.946677,-0.608327,1.110881,-0.001886,-0.002163,0.000044,0.999996,0.034543,-0.049447,0.025145,0.000000,0.000000,0.000000
15.000000,drone1,ekf/odom,/drone1/odom,0.947241,-0.610166,1.111984,-0.001898,-0.001957,0.000044,0.999996,0.024885,-0.046916,0.032119,0.000000,0.000000,0.000000
15.000000,drone1,ekf/odom,/drone1/odom,0.946612,-0.609755,1.111546,-0.001898,-0.001957,0.000044,0.999996,0.024011,-0.046345,0.031535,0.000000,0.000000,0.000000
15.000000,drone1,ekf/odom,/drone1/odom,0.946025,-0.609372,1.111137,-0.001898,-0.001957,0.000044,0.999996,0.023195,-0.045811,0.030988,0.000000,0.000000,0.000000
15.000000,drone1,ekf/odom,/drone1/odom,0.945477,-0.609013,1.110754,-0.001898,-0.001957,0.000044,0.999996,0.022432,-0.045312,0.030475,0.000000,0.000000,0.000000
15.052000,drone1,ekf/odom,/drone1/odom,0.945472,-0.610561,1.112508,-0.001907,-0.001786,0.000044,0.999997,0.010678,-0.037983,0.041860,0.000000,0.000000,0.000000
15.052000,drone1,ekf/odom,/drone1/odom,0.944911,-0.610133,1.112084,-0.001910,-0.001736,0.000044,0.999997,0.009897,-0.037388,0.041294,0.000000,0.000000,0.000000
15.052000,drone1,ekf/odom,/drone1/odom,0.944387,-0.609734,1.111688,-0.001910,-0.001736,0.000044,0.999997,0.009169,-0.036833,0.040765,0.000000,0.000000,0.000000
15.056000,drone1,ekf/odom,/drone1/odom,0.943923,-0.609497,1.111471,-0.001910,-0.001736,0.000044,0.999997,0.007252,-0.035943,0.040496,0.000000,0.000000,0.000000
15.096000,drone1,ekf/odom,/drone1/odom,0.943354,-0.610467,1.112768,-0.001917,-0.001568,0.000044,0.999997,-0.002277,-0.034862,0.042170,0.000000,0.000000,0.000000
15.100000,drone1,ekf/odom,/drone1/odom,0.942871,-0.610174,1.112543,-0.001918,-0.001534,0.000044,0.999997,-0.002251,-0.033132,0.041955,0.000000,0.000000,0.000000
15.100000,drone1,ekf/odom,/drone1/odom,0.942426,-0.609775,1.112174,-0.001918,-0.001534,0.000044,0.999997,-0.002869,-0.032577,0.041462,0.000000,0.000000,0.000000
15.100000,drone1,ekf/odom,/drone1/odom,0.942011,-0.609402,1.111828,-0.001918,-0.001534,0.000044,0.999997,-0.003447,-0.032058,0.040999,0.000000,0.000000,0.000000
15.152000,drone1,ekf/odom,/drone1/odom,0.941139,-0.609091,1.113631,-0.001926,-0.001319,0.000045,0.999997,-0.009223,-0.001274,0.041676,0.000000,0.000000,0.000000
15.152000,drone1,ekf/odom,/drone1/odom,0.940745,-0.608713,1.113266,-0.001926,-0.001319,0.000045,0.999997,-0.009770,-0.000749,0.041189,0.000000,0.000000,0.000000
15.152000,drone1,ekf/odom,/drone1/odom,0.940378,-0.608360,1.112925,-0.001926,-0.001319,0.000045,0.999997,-0.010280,-0.000259,0.040733,0.000000,0.000000,0.000000
15.152000,drone1,ekf/odom,/drone1/odom,0.940035,-0.608031,1.112606,-0.001926,-0.001319,0.000045,0.999997,-0.010757,0.000199,0.040306,0.000000,0.000000,0.000000
15.200000,drone1,ekf/odom,/drone1/odom,0.939218,-0.607886,1.113922,-0.001930,-0.001156,0.000045,0.999997,-0.010398,-0.003981,0.033933,0.000000,0.000000,0.000000
15.200000,drone1,ekf/odom,/drone1/odom,0.938902,-0.607552,1.113611,-0.001930,-0.001124,0.000045,0.999998,-0.010839,-0.003517,0.033517,0.000000,0.000000,0.000000
15.200000,drone1,ekf/odom,/drone1/odom,0.938606,-0.607240,1.113319,-0.001930,-0.001124,0.000045,0.999998,-0.011249,-0.003083,0.033127,0.000000,0.000000,0.000000
15.200000,drone1,ekf/odom,/drone1/odom,0.938329,-0.606948,1.113046,-0.001930,-0.001124,0.000045,0.999998,-0.011634,-0.002677,0.032762,0.000000,0.000000,0.000000
15.252000,drone1,ekf/odom,/drone1/odom,0.936704,-0.607798,1.114844,-0.001933,-0.000916,0.000045,0.999998,-0.026990,-0.022733,0.039696,0.000000,0.000000,0.000000
15.252000,drone1,ekf/odom,/drone1/odom,0.936481,-0.607465,1.114576,-0.001933,-0.000916,0.000045,0.999998,-0.027299,-0.022270,0.039339,0.000000,0.000000,0.000000
