epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.03307,0.54941,2.81218,0.99146,0.00584,1,0.77174,0.71338,0.41263,2.69226,0.72799,0.00024442,0.00024442,0.00024442
2,11.4948,0.49582,1.27398,0.92476,0.85584,0.94838,0.96681,0.88907,0.4202,1.19067,0.73255,0.000497475,0.000497475,0.000497475
3,16.9538,0.48466,0.89495,0.90718,0.96079,0.96817,0.98714,0.91393,0.42687,1.02534,0.73014,0.000748001,0.000748001,0.000748001
4,22.3937,0.49221,0.8625,0.90988,0.91688,0.97973,0.99111,0.88333,0.47025,0.88114,0.76612,0.000995997,0.000995997,0.000995997
5,27.6631,0.47774,0.83503,0.9083,0.98442,0.98533,0.99468,0.90518,0.46056,0.74156,0.75628,0.001089,0.001089,0.001089
6,32.9326,0.46139,0.74793,0.90352,0.92922,0.97736,0.99362,0.92094,0.42158,0.73228,0.74086,0.0010835,0.0010835,0.0010835
7,38.3937,0.47123,0.73458,0.90737,0.97874,0.99782,0.99344,0.92254,0.42333,0.68706,0.72993,0.001078,0.001078,0.001078
8,43.8438,0.47182,0.67797,0.90197,0.97325,0.99082,0.99264,0.92028,0.4201,0.76073,0.73157,0.0010725,0.0010725,0.0010725
9,49.1965,0.47917,0.66224,0.90644,0.99033,0.99881,0.995,0.9306,0.40933,0.60225,0.716,0.001067,0.001067,0.001067
10,54.5682,0.43676,0.64949,0.89771,0.99467,0.99278,0.99478,0.94783,0.39374,0.55607,0.72045,0.0010615,0.0010615,0.0010615
11,59.9982,0.42654,0.586,0.8898,0.98677,0.99329,0.99489,0.93266,0.41503,0.57276,0.73032,0.00105601,0.00105601,0.00105601
12,65.4214,0.44647,0.57042,0.89226,0.99298,0.99318,0.99489,0.92618,0.39828,0.4368,0.71666,0.00105051,0.00105051,0.00105051
13,70.8675,0.43823,0.59811,0.89351,0.99498,0.98857,0.99381,0.92583,0.42429,0.44104,0.72908,0.00104501,0.00104501,0.00104501
14,76.3484,0.42444,0.53187,0.89172,0.99821,0.98929,0.99333,0.94435,0.36784,0.41063,0.70108,0.00103951,0.00103951,0.00103951
15,81.8169,0.42844,0.50525,0.89607,0.99079,0.9931,0.99386,0.93302,0.37328,0.37841,0.70497,0.00103401,0.00103401,0.00103401
16,87.2595,0.42055,0.48244,0.88216,0.99632,0.99387,0.99489,0.9519,0.38447,0.36643,0.7055,0.00102851,0.00102851,0.00102851
17,92.673,0.41774,0.48184,0.89709,0.99557,0.99429,0.9945,0.92981,0.4012,0.39215,0.7125,0.00102301,0.00102301,0.00102301
18,98.1509,0.4366,0.48481,0.90608,0.99681,0.99429,0.99478,0.93926,0.3853,0.37588,0.71671,0.00101751,0.00101751,0.00101751
19,103.547,0.40089,0.47872,0.88001,0.9917,0.99755,0.995,0.93763,0.36809,0.3627,0.71646,0.00101201,0.00101201,0.00101201
20,108.985,0.44111,0.48061,0.9021,0.99576,0.99579,0.995,0.93892,0.39979,0.37533,0.72654,0.00100651,0.00100651,0.00100651
21,114.362,0.40236,0.46355,0.89069,0.99706,0.99502,0.995,0.94792,0.37635,0.32718,0.7092,0.00100101,0.00100101,0.00100101
22,119.853,0.41765,0.4239,0.89642,0.99655,0.99429,0.99478,0.93283,0.36686,0.31404,0.6998,0.000995512,0.000995512,0.000995512
23,125.35,0.42028,0.42164,0.87572,0.99812,0.98973,0.99489,0.95101,0.35627,0.30539,0.70406,0.000990012,0.000990012,0.000990012
24,130.784,0.40544,0.40985,0.88404,0.99767,0.99065,0.99489,0.94371,0.35605,0.28407,0.70502,0.000984513,0.000984513,0.000984513
25,136.215,0.39553,0.39217,0.88069,0.99765,0.99043,0.995,0.93403,0.37328,0.29666,0.70925,0.000979013,0.000979013,0.000979013
26,141.689,0.39384,0.39697,0.87448,0.99598,0.99055,0.995,0.94718,0.34358,0.30254,0.69125,0.000973514,0.000973514,0.000973514
27,147.105,0.39837,0.40242,0.88199,0.99437,1,0.995,0.94808,0.34396,0.27289,0.69179,0.000968014,0.000968014,0.000968014
