epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8923,0.5409,2.48554,0.96656,0.79982,0.78065,0.89892,0.82337,0.42328,1.5321,0.75795,0.000362104,0.000362104,0.000362104
2,23.0044,0.51841,1.15723,0.92614,0.94382,0.97153,0.99452,0.90603,0.44883,0.89698,0.77636,0.000727603,0.000727603,0.000727603
3,33.6708,0.50262,0.99295,0.91479,0.97559,1,0.99207,0.89221,0.49545,0.72585,0.77884,0.00108821,0.00108821,0.00108821
4,45.5304,0.49255,0.88316,0.91804,0.96964,0.96328,0.99373,0.9041,0.43594,0.73588,0.75913,0.001089,0.001089,0.001089
5,56.94,0.52406,0.85399,0.91269,0.92793,0.99754,0.98443,0.90924,0.43667,0.94762,0.78912,0.00108167,0.00108167,0.00108167
6,68.8173,0.50088,0.82438,0.90619,0.99549,1,0.995,0.91857,0.4221,0.55708,0.7515,0.00107434,0.00107434,0.00107434
7,79.4541,0.4799,0.76248,0.9055,0.98559,1,0.995,0.91913,0.41685,0.68917,0.75473,0.001067,0.001067,0.001067
8,90.4033,0.48637,0.73356,0.90485,0.99737,1,0.995,0.92166,0.43398,0.5374,0.76349,0.00105967,0.00105967,0.00105967
9,101.942,0.43537,0.64172,0.8998,0.99742,1,0.995,0.93895,0.3917,0.52916,0.74842,0.00105234,0.00105234,0.00105234
10,113.841,0.47135,0.65656,0.90857,0.99417,1,0.995,0.92305,0.41361,0.4958,0.75396,0.00104501,0.00104501,0.00104501
11,125.445,0.45997,0.62873,0.90551,0.99643,1,0.995,0.92077,0.39634,0.51945,0.73675,0.00103767,0.00103767,0.00103767
12,135.709,0.43915,0.61731,0.89599,0.99385,1,0.995,0.93043,0.3712,0.43247,0.73641,0.00103034,0.00103034,0.00103034
13,147.603,0.45913,0.61102,0.90348,0.99147,1,0.995,0.92259,0.38429,0.3861,0.73317,0.00102301,0.00102301,0.00102301
14,159.03,0.4362,0.55583,0.88984,0.98457,0.99881,0.9949,0.92732,0.36312,0.50862,0.71154,0.00101568,0.00101568,0.00101568
15,170.656,0.42941,0.57266,0.89534,0.99136,1,0.995,0.90966,0.39972,0.43388,0.73294,0.00100834,0.00100834,0.00100834
