stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_det_range,aq_gt_range,aq_range_err
154.048000,drone3,2,0.901597,167.037384,55.209457,10.997756,10.560813,0.000000,container3,14.156194,9.917804,-1.626020,-3.158438,0.643010,1.626020,3.610143,-0.572132,-0.028163,-0.001634,15.684028,17.846134,-2.162106
154.080000,drone3,2,0.902585,167.218643,56.687351,10.983819,10.571049,0.000000,container3,14.156291,9.917796,-1.624958,-3.172471,0.653253,1.624958,3.623782,-0.572331,-0.028187,-0.002354,15.680830,17.846224,-2.165394
154.112000,drone3,2,0.907845,166.752533,56.008442,11.016935,10.595003,0.000000,container3,14.156389,9.917790,-1.623962,-3.139454,0.677213,1.623962,3.598894,-0.572651,-0.028201,-0.003629,15.721672,17.846367,-2.124695
154.144000,drone3,2,0.908847,167.299683,56.982586,11.014759,10.596732,0.000000,container3,14.156488,9.917786,-1.623033,-3.141729,0.678946,1.623033,3.600787,-0.572557,-0.028260,-0.002606,15.721207,17.846411,-2.125204
154.180000,drone3,2,0.910283,167.437149,57.954983,11.010482,10.605874,0.000000,container3,14.156488,9.917786,-1.623033,-3.146006,0.688087,1.623033,3.606252,-0.572804,-0.028286,-0.003677,15.724436,17.846533,-2.122097
154.212000,drone3,2,0.912589,167.853882,57.840965,11.028202,10.605691,0.000000,container3,14.156693,9.917784,-1.621381,-3.128491,0.687907,1.621381,3.590202,-0.573126,-0.028302,-0.005255,15.737619,17.846682,-2.109063
154.244000,drone3,2,0.914607,168.066879,58.950413,11.018062,10.610753,0.000000,container3,14.156798,9.917786,-1.620659,-3.138736,0.692967,1.620659,3.599779,-0.573021,-0.028366,-0.004353,15.733533,17.846735,-2.113202
154.276000,drone3,2,0.919625,168.378845,59.363609,11.023645,10.612974,0.000000,container3,14.156905,9.917789,-1.620008,-3.133260,0.695185,1.620008,3.595140,-0.573293,-0.028392,-0.005860,15.739367,17.846869,-2.107502
154.308000,drone3,2,0.921998,168.346069,59.461567,11.035724,10.622876,0.000000,container3,14.157013,9.917794,-1.619428,-3.121290,0.705082,1.619428,3.586382,-0.573523,-0.028425,-0.007009,15.755154,17.847013,-2.091859
154.344000,drone3,2,0.923618,168.925247,60.637260,11.026263,10.620709,0.000000,container3,14.157013,9.917794,-1.619428,-3.130751,0.702916,1.619428,3.594195,-0.573491,-0.028493,-0.006831,15.746740,17.847040,-2.100299
154.376000,drone3,2,0.925152,169.118103,61.101299,11.030676,10.627804,0.000000,container3,14.157013,9.917794,-1.619428,-3.126337,0.710010,1.619428,3.591746,-0.573764,-0.028515,-0.008625,15.755007,17.847116,-2.092108
154.408000,drone3,2,0.929904,169.576797,61.856445,11.029011,10.629579,0.000000,container3,14.157234,9.917809,-1.618482,-3.128223,0.711770,1.618482,3.593310,-0.573924,-0.028550,-0.009762,15.755123,17.847270,-2.092147
154.444000,drone3,2,0.932164,169.950089,62.406513,11.033659,10.634657,0.000000,container3,14.157346,9.917819,-1.618118,-3.123687,0.716838,1.618118,3.590206,-0.573954,-0.028605,-0.010069,15.762041,17.847363,-2.085322
154.476000,drone3,2,0.933602,170.212601,62.471226,11.043768,10.640014,0.000000,container3,14.157346,9.917819,-1.618118,-3.113578,0.722195,1.618118,3.582491,-0.574219,-0.028623,-0.012136,15.773318,17.847405,-2.074087
154.508000,drone3,2,0.934177,170.535904,62.718700,11.048653,10.643895,0.000000,container3,14.157574,9.917845,-1.617610,-3.108921,0.726049,1.617610,3.578994,-0.574445,-0.028649,-0.013784,15.779727,17.847616,-2.067889
154.540000,drone3,2,0.935957,170.854492,62.995502,11.052857,10.647911,0.000000,container3,14.157689,9.917861,-1.617468,-3.104832,0.730051,1.617468,3.576193,-0.574348,-0.028704,-0.013795,15.785506,17.847656,-2.062150
154.576000,drone3,2,0.934653,170.980804,62.773613,11.069338,10.656325,0.000000,container3,14.157689,9.917861,-1.617468,-3.088351,0.738464,1.617468,3.563628,-0.574654,-0.028731,-0.016320,15.803583,17.847697,-2.044114
154.608000,drone3,2,0.935400,171.367294,63.041813,11.073857,10.657080,0.000000,container3,14.157923,9.917897,-1.617405,-3.084066,0.739183,1.617405,3.560036,-0.574925,-0.028759,-0.018498,15.807644,17.847949,-2.040305
154.640000,drone3,2,0.938450,171.719452,63.373932,11.076866,10.658570,0.000000,container3,14.157923,9.917897,-1.617405,-3.081058,0.740673,1.617405,3.557740,-0.574775,-0.028823,-0.018389,15.810801,17.847870,-2.037069
154.672000,drone3,2,0.939204,172.206345,63.511688,11.086612,10.657791,0.000000,container3,14.158041,9.917917,-1.617487,-3.071429,0.739874,1.617487,3.549275,-0.575115,-0.028842,-0.021291,15.817726,17.848018,-2.030292
154.704000,drone3,2,0.939201,172.760864,63.899776,11.092019,10.656204,0.000000,container3,14.158280,9.917963,-1.617876,-3.066261,0.738241,1.617876,3.544641,-0.575236,-0.028884,-0.022552,15.820761,17.848287,-2.027525
154.740000,drone3,2,0.939951,173.194138,64.914146,11.084607,10.659117,0.000000,container3,14.158400,9.917988,-1.618184,-3.073793,0.741129,1.618184,3.551900,-0.575202,-0.028939,-0.023712,15.817278,17.848326,-2.031048
154.772000,drone3,2,0.941380,173.811798,65.147835,11.094091,10.656898,0.000000,container3,14.158400,9.917988,-1.618184,-3.064309,0.738909,1.618184,3.543233,-0.575530,-0.028958,-0.026874,15.823029,17.848325,-2.025295
