stamp,track_id,class,class_name,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_range_est,aq_range_gt,aq_range_err
529.224000,0,3,container4,drone3,27.987630,4.369079,0.000000,container4,31.790720,4.730000,-1.468661,-3.803091,-0.360921,1.468661,4.092765,-2.008268,-0.196655,0.000000,30.341388,34.187725,-3.846337
529.256000,0,3,container4,drone3,27.984895,4.369403,0.000000,container4,31.790720,4.730000,-1.468661,-3.805825,-0.360597,1.468661,4.095278,-2.008268,-0.196655,0.000000,30.338733,34.187725,-3.848992
529.288000,0,3,container4,drone3,27.981863,4.368781,0.000000,container4,31.790784,4.730008,-1.465050,-3.808921,-0.361227,1.465050,4.096918,-2.008359,-0.196665,0.000000,30.335734,34.187726,-3.851992
529.320000,0,3,container4,drone3,27.982668,4.368445,0.000000,container4,31.790784,4.730008,-1.465050,-3.808116,-0.361563,1.465050,4.096199,-2.008451,-0.196675,0.000000,30.336571,34.187818,-3.851247
529.356000,0,3,container4,drone3,27.983612,4.367954,0.000000,container4,31.790784,4.730008,-1.465050,-3.807173,-0.362054,1.465050,4.095366,-2.008451,-0.196675,0.000000,30.337430,34.187818,-3.850388
529.388000,0,3,container4,drone3,27.984547,4.367073,0.000000,container4,31.790853,4.730017,-1.461597,-3.806306,-0.362944,1.461597,4.093404,-2.008543,-0.196685,0.000000,30.338315,34.187832,-3.849517
529.420000,0,3,container4,drone3,27.987272,4.366617,0.000000,container4,31.790853,4.730017,-1.461597,-3.803581,-0.363400,1.461597,4.090911,-2.008543,-0.196685,0.000000,30.340940,34.187832,-3.846892
529.456000,0,3,container4,drone3,27.991097,4.365750,0.000000,container4,31.790853,4.730017,-1.461597,-3.799756,-0.364267,1.461597,4.087432,-2.008543,-0.196685,0.000000,30.344591,34.187832,-3.843240
529.488000,0,3,container4,drone3,27.992999,4.364331,0.000000,container4,31.790853,4.730017,-1.461597,-3.797854,-0.365686,1.461597,4.085791,-2.008543,-0.196685,0.000000,30.346258,34.187832,-3.841573
529.520000,0,3,container4,drone3,27.993901,4.362740,0.000000,container4,31.790926,4.730026,-1.458303,-3.797026,-0.367286,1.458303,4.083987,-2.008729,-0.196705,0.000000,30.347097,34.187951,-3.840854
529.552000,0,3,container4,drone3,27.995280,4.361183,0.000000,container4,31.790926,4.730026,-1.458303,-3.795647,-0.368842,1.458303,4.082846,-2.008729,-0.196705,0.000000,30.348226,34.187951,-3.839725
529.588000,0,3,container4,drone3,27.996959,4.360161,0.000000,container4,31.790926,4.730026,-1.458303,-3.793968,-0.369864,1.458303,4.081377,-2.008729,-0.196705,0.000000,30.349733,34.187951,-3.838218
529.620000,0,3,container4,drone3,27.998475,4.358992,0.000000,container4,31.791355,4.730068,-1.444282,-3.792880,-0.371076,1.444282,4.075486,-2.009691,-0.196810,0.000000,30.352024,34.188752,-3.836728
529.652000,0,3,container4,drone3,27.999990,4.358122,0.000000,container4,31.791355,4.730068,-1.444282,-3.791365,-0.371945,1.444282,4.074156,-2.009691,-0.196810,0.000000,30.353391,34.188752,-3.835361
529.684000,0,3,container4,drone3,28.000914,4.356732,0.000000,container4,31.791355,4.730068,-1.444282,-3.790441,-0.373336,1.444282,4.073423,-2.009691,-0.196810,0.000000,30.354096,34.188752,-3.834656
529.716000,0,3,container4,drone3,28.001897,4.355209,0.000000,container4,31.791355,4.730068,-1.444282,-3.789458,-0.374859,1.444282,4.072648,-2.009691,-0.196810,0.000000,30.354840,34.188752,-3.833912
529.752000,0,3,container4,drone3,28.004078,4.353962,0.000000,container4,31.791355,4.730068,-1.444282,-3.787277,-0.376106,1.444282,4.070734,-2.009691,-0.196810,0.000000,30.356809,34.188752,-3.831943
529.784000,0,3,container4,drone3,28.006918,4.352723,0.000000,container4,31.791452,4.730076,-1.441978,-3.784534,-0.377353,1.441978,4.067480,-2.009691,-0.196810,0.000000,30.359431,34.188752,-3.829321
529.816000,0,3,container4,drone3,28.009642,4.351187,0.000000,container4,31.791452,4.730076,-1.441978,-3.781810,-0.378888,1.441978,4.065089,-2.009890,-0.196832,0.000000,30.362095,34.188953,-3.826858
