stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z
621.160000,drone3,-1,0.939042,159.282684,479.247391,4.199301,-4.768590,0.000000,container1,7.361120,-5.263699,-1.849023,-3.161819,0.495109,1.849023,3.696095,-2.370672,-0.165257,-0.180426
621.160000,drone3,-1,0.935690,538.711548,59.292171,15.295636,-14.645645,0.000000,container5,16.869712,-15.264465,-1.758554,-1.574077,0.618821,1.758554,2.439912,-2.370672,-0.165257,-0.180426
621.196000,drone3,-1,0.938872,159.441437,479.287971,4.197820,-4.772707,0.000000,container1,7.360584,-5.263788,-1.861885,-3.162764,0.491082,1.861885,3.702817,-2.370380,-0.165286,-0.185494
621.196000,drone3,-1,0.936674,538.823853,59.716991,15.283896,-14.648467,0.000000,container5,16.869409,-15.264523,-1.771868,-1.585513,0.616056,1.771868,2.456195,-2.370380,-0.165286,-0.185494
621.260000,drone3,-1,0.940066,159.767151,479.449425,4.192964,-4.781257,0.000000,container1,7.360302,-5.263836,-1.868250,-3.167338,0.482579,1.868250,3.708810,-2.370871,-0.165335,-0.200157
621.260000,drone3,-1,0.935279,538.403320,60.140396,15.271785,-14.637268,0.000000,container5,16.869244,-15.264555,-1.778530,-1.597459,0.627287,1.778530,2.471545,-2.370871,-0.165335,-0.200157
621.324000,drone3,-1,0.940126,160.130966,479.469566,4.192631,-4.791295,0.000000,container1,7.359712,-5.263937,-1.880832,-3.167081,0.472641,1.880832,3.713667,-2.370698,-0.165376,-0.211460
621.324000,drone3,-1,0.933025,538.756714,60.321453,15.267380,-14.647205,0.000000,container5,16.868885,-15.264623,-1.791848,-1.601505,0.617419,1.791848,2.481278,-2.370698,-0.165376,-0.211460
621.392000,drone3,-1,0.940658,160.365768,479.348801,4.195819,-4.798254,0.000000,container1,7.359087,-5.264045,-1.893192,-3.163268,0.465791,1.893192,3.715831,-2.370474,-0.165411,-0.223195
621.392000,drone3,-1,0.931973,538.535034,60.188061,15.271447,-14.642750,0.000000,container5,16.868489,-15.264698,-1.805131,-1.597042,0.621948,1.805131,2.489149,-2.370474,-0.165411,-0.223195
621.424000,drone3,-1,0.940657,160.466507,479.272179,4.197785,-4.801369,0.000000,container1,7.358761,-5.264101,-1.899281,-3.160976,0.462733,1.899281,3.716606,-2.370799,-0.165431,-0.230664
621.424000,drone3,-1,0.933659,538.690308,60.063911,15.275126,-14.647693,0.000000,container5,16.868277,-15.264738,-1.811751,-1.593151,0.617045,1.811751,2.490244,-2.370799,-0.165431,-0.230664
621.492000,drone3,-1,0.940127,160.681488,479.173409,4.199119,-4.807894,0.000000,container1,7.358085,-5.264220,-1.911257,-3.158966,0.456327,1.911257,3.720242,-2.370567,-0.165459,-0.242213
621.492000,drone3,-1,0.931883,538.447388,60.004009,15.276540,-14.643259,0.000000,container5,16.867825,-15.264823,-1.824930,-1.591285,0.621563,1.824930,2.499779,-2.370567,-0.165459,-0.242213
621.556000,drone3,-1,0.940445,160.726501,479.144165,4.197974,-4.809834,0.000000,container1,7.357734,-5.264282,-1.917139,-3.159760,0.454449,1.917139,3.723711,-2.370981,-0.165493,-0.255169
621.556000,drone3,-1,0.933832,538.638550,60.278828,15.268649,-14.650161,0.000000,container5,16.867586,-15.264867,-1.831481,-1.598937,0.614706,1.831481,2.507745,-2.370981,-0.165493,-0.255169
621.592000,drone3,-1,0.940709,160.825409,479.250565,4.194712,-4.812904,0.000000,container1,7.357009,-5.264411,-1.928671,-3.162297,0.451507,1.928671,3.731455,-2.370620,-0.165501,-0.260640
621.592000,drone3,-1,0.933295,538.664612,60.291603,15.268006,-14.651461,0.000000,container5,16.867080,-15.264962,-1.844489,-1.599074,0.613501,1.844489,2.517053,-2.370620,-0.165501,-0.260640
621.656000,drone3,-1,0.941117,161.320465,479.181030,4.195765,-4.826695,0.000000,container1,7.356253,-5.264547,-1.939875,-3.160488,0.437852,1.939875,3.734101,-2.371079,-0.165535,-0.273427
621.656000,drone3,-1,0.932942,538.827942,60.512840,15.261674,-14.656883,0.000000,container5,16.866538,-15.265063,-1.857348,-1.604864,0.608180,1.857348,2.528876,-2.371079,-0.165535,-0.273427
621.720000,drone3,-1,0.941560,161.535309,479.190659,4.195162,-4.833146,0.000000,container1,7.355863,-5.264617,-1.945346,-3.160701,0.431472,1.945346,3.736384,-2.371003,-0.165556,-0.284378
621.720000,drone3,-1,0.934579,538.834412,60.566391,15.260037,-14.658011,0.000000,container5,16.866254,-15.265116,-1.863712,-1.606217,0.607105,1.863712,2.534154,-2.371003,-0.165556,-0.284378
621.788000,drone3,-1,0.941110,161.683441,479.099930,4.197222,-4.837691,0.000000,container1,7.355062,-5.264762,-1.956010,-3.157840,0.427071,1.956010,3.739027,-2.370661,-0.165572,-0.295056
621.788000,drone3,-1,0.937966,539.033630,61.010544,15.247556,-14.663548,0.000000,container5,16.865660,-15.265226,-1.876295,-1.618104,0.601678,1.876295,2.549658,-2.370661,-0.165572,-0.295056
621.820000,drone3,-1,0.940548,161.934784,479.182991,4.194950,-4.844545,0.000000,container1,7.354651,-5.264837,-1.961197,-3.159700,0.420292,1.961197,3.742545,-2.370965,-0.165589,-0.301038
621.820000,drone3,-1,0.940377,539.011597,61.674339,15.229465,-14.662874,0.000000,container5,16.865350,-15.265283,-1.882505,-1.635884,0.602409,1.882505,2.565705,-2.370965,-0.165589,-0.301038
621.888000,drone3,-1,0.941858,538.999023,62.654034,15.202122,-14.660831,0.000000,container5,16.865031,-15.265342,-1.888658,-1.662909,0.604512,1.888658,2.587997,-2.370592,-0.165602,-0.311328
621.888000,drone3,-1,0.938630,162.458588,479.156548,4.195304,-4.857435,0.000000,container1,7.354232,-5.264914,-1.966284,-3.158928,0.407479,1.966284,3.743145,-2.370592,-0.165602,-0.311328
621.920000,drone3,-1,0.941635,538.953369,62.750328,15.198729,-14.658159,0.000000,container5,16.864370,-15.265464,-1.900775,-1.665641,0.607306,1.900775,2.599255,-2.370852,-0.165615,-0.316892
621.920000,drone3,-1,0.938446,162.560440,479.141258,4.195457,-4.859132,0.000000,container1,7.353376,-5.265070,-1.976144,-3.157920,0.405939,1.976144,3.747317,-2.370852,-0.165615,-0.316892
621.988000,drone3,-1,0.942999,538.560181,63.171860,15.185901,-14.644735,0.000000,container5,16.864027,-15.265528,-1.906733,-1.678125,0.620793,1.906733,2.614789,-2.370486,-0.165616,-0.326748
621.988000,drone3,-1,0.939435,162.645508,479.251930,4.192130,-4.859311,0.000000,container1,7.352939,-5.265151,-1.980913,-3.160809,0.405840,1.980913,3.752257,-2.370486,-0.165616,-0.326748
622.020000,drone3,-1,0.943002,538.428650,63.396420,15.179244,-14.639822,0.000000,container5,16.863676,-15.265592,-1.912619,-1.684432,0.625771,1.912619,2.624312,-2.370763,-0.165621,-0.331822
622.020000,drone3,-1,0.939621,162.681427,479.328644,4.189973,-4.859291,0.000000,container1,7.352495,-5.265233,-1.985569,-3.162521,0.405942,1.985569,3.756170,-2.370763,-0.165621,-0.331822
622.084000,drone3,-1,0.945132,538.018433,63.743206,15.168740,-14.626214,0.000000,container5,16.862950,-15.265725,-1.924165,-1.694210,0.639511,1.924165,2.642297,-2.370424,-0.165614,-0.340705
622.084000,drone3,-1,0.939572,162.855362,479.358780,4.189587,-4.862462,0.000000,container1,7.351589,-5.265400,-1.994537,-3.162002,0.402938,1.994537,3.760159,-2.370424,-0.165614,-0.340705
622.116000,drone3,-1,0.945285,537.552246,64.077425,15.159296,-14.612642,0.000000,container5,16.862576,-15.265794,-1.929818,-1.703280,0.653152,1.929818,2.655554,-2.370680,-0.165616,-0.345294
622.116000,drone3,-1,0.938889,163.008194,479.289688,4.191951,-4.866037,0.000000,container1,7.351128,-5.265486,-1.998843,-3.159177,0.399448,1.998843,3.759698,-2.370680,-0.165616,-0.345294
622.184000,drone3,-1,0.943298,536.842896,64.528143,15.146615,-14.591230,0.000000,container5,16.862195,-15.265864,-1.935387,-1.715580,0.674634,1.935387,2.672839,-2.370082,-0.165593,-0.354303
622.184000,drone3,-1,0.938848,163.311798,479.141548,4.197949,-4.873546,0.000000,container1,7.350661,-5.265572,-2.003028,-3.152712,0.392026,2.003028,3.755715,-2.370082,-0.165593,-0.354303
622.216000,drone3,-1,0.941848,536.768799,64.580765,15.145158,-14.587987,0.000000,container5,16.861410,-15.266007,-1.946259,-1.716252,0.678020,1.946259,2.682006,-2.370455,-0.165594,-0.358372
622.216000,drone3,-1,0.938888,163.430191,479.059433,4.201592,-4.876682,0.000000,container1,7.349713,-5.265749,-2.011021,-3.148120,0.389066,2.011021,3.755828,-2.370455,-0.165594,-0.358372
622.284000,drone3,-1,0.940966,536.556519,64.255569,15.153512,-14.579574,0.000000,container5,16.861007,-15.266080,-1.951557,-1.707495,0.686506,1.951557,2.682425,-2.370015,-0.165570,-0.366688
622.284000,drone3,-1,0.939361,163.521332,479.131981,4.202824,-4.879185,0.000000,container1,7.349231,-5.265839,-2.014826,-3.146406,0.386654,2.014826,3.756182,-2.370015,-0.165570,-0.366688
622.316000,drone3,-1,0.940819,536.579651,64.129740,15.156752,-14.578848,0.000000,container5,16.860181,-15.266230,-1.961862,-1.703429,0.687382,1.961862,2.687577,-2.370270,-0.165572,-0.370203
622.316000,drone3,-1,0.939199,163.582291,479.179413,4.203059,-4.880838,0.000000,container1,7.348254,-5.266021,-2.022041,-3.145194,0.385183,2.022041,3.758892,-2.370270,-0.165572,-0.370203
622.384000,drone3,-1,0.939554,163.725098,479.346367,4.202055,-4.884336,0.000000,container1,7.347759,-5.266114,-2.025447,-3.145704,0.381778,2.025447,3.760804,-2.369780,-0.165540,-0.377937
622.384000,drone3,-1,0.939301,536.273438,64.351057,15.151622,-14.568273,0.000000,container5,16.859758,-15.266307,-1.966863,-1.708137,0.698034,1.966863,2.696948,-2.369780,-0.165540,-0.377937
622.416000,drone3,-1,0.940184,536.259033,64.053383,15.160223,-14.566719,0.000000,container5,16.858894,-15.266463,-1.976548,-1.698671,0.699744,1.976548,2.698494,-2.369991,-0.165539,-0.380947
622.416000,drone3,-1,0.939305,163.835449,479.305046,4.204854,-4.886890,0.000000,container1,7.346757,-5.266302,-2.031846,-3.141903,0.379411,2.031846,3.760839,-2.369991,-0.165539,-0.380947
622.480000,drone3,-1,0.940185,536.268494,64.305489,15.155141,-14.564985,0.000000,container5,16.858453,-15.266542,-1.981228,-1.703312,0.701557,1.981228,2.705312,-2.369578,-0.165508,-0.387576
622.480000,drone3,-1,0.939924,164.001541,479.318115,4.207441,-4.890427,0.000000,container1,7.346251,-5.266397,-2.034836,-3.138810,0.375970,2.034836,3.759526,-2.369578,-0.165508,-0.387576
622.512000,drone3,-1,0.940585,536.040527,64.327820,15.155222,-14.558134,0.000000,container5,16.858006,-15.266623,-1.985794,-1.702784,0.708489,1.985794,2.710131,-2.369777,-0.165509,-0.390036
622.512000,drone3,-1,0.939802,164.273376,479.457520,4.204975,-4.897065,0.000000,container1,7.345741,-5.266493,-2.037683,-3.140766,0.369428,2.037683,3.762053,-2.369777,-0.165509,-0.390036
622.580000,drone3,-1,0.941867,536.242432,64.450554,15.153250,-14.562274,0.000000,container5,16.857096,-15.266786,-1.994581,-1.703846,0.704512,1.994581,2.716207,-2.369270,-0.165473,-0.396503
622.580000,drone3,-1,0.939729,164.437088,479.565071,4.204677,-4.901332,0.000000,container1,7.344713,-5.266686,-2.042943,-3.140036,0.365354,2.042943,3.763898,-2.369270,-0.165473,-0.396503
622.612000,drone3,-1,0.942392,536.060608,64.686775,15.147389,-14.557474,0.000000,container5,16.856633,-15.266869,-1.998795,-1.709244,0.709395,1.998795,2.723957,-2.369455,-0.165473,-0.398396
622.612000,drone3,-1,0.939713,164.384109,479.574646,4.205640,-4.900628,0.000000,container1,7.344195,-5.266784,-2.045353,-3.138554,0.366155,2.045353,3.764049,-2.369455,-0.165473,-0.398396
622.680000,drone3,-1,0.943164,536.031982,64.507133,15.152314,-14.556114,0.000000,container5,16.855692,-15.267037,-2.006856,-1.703378,0.710922,2.006856,2.726605,-2.368970,-0.165434,-0.404128
622.680000,drone3,-1,0.939715,164.522827,479.537132,4.209085,-4.905634,0.000000,container1,7.343150,-5.266981,-2.049727,-3.134066,0.361346,2.049727,3.762223,-2.368970,-0.165434,-0.404128
622.744000,drone3,-1,0.941140,536.065918,64.983215,15.139330,-14.556014,0.000000,container5,16.855215,-15.267122,-2.010697,-1.715884,0.711108,2.010697,2.737305,-2.368588,-0.165397,-0.408868
622.744000,drone3,-1,0.939881,164.774933,479.509621,4.211923,-4.913434,0.000000,container1,7.342625,-5.267080,-2.051688,-3.130702,0.353646,2.051688,3.759758,-2.368588,-0.165397,-0.408868
622.780000,drone3,-1,0.941530,536.066345,64.818260,15.142919,-14.555231,0.000000,container5,16.854733,-15.267207,-2.014410,-1.711814,0.711976,2.014410,2.737712,-2.368590,-0.165388,-0.410542
622.780000,drone3,-1,0.940092,164.811661,479.326706,4.217219,-4.914681,0.000000,container1,7.342098,-5.267179,-2.053496,-3.124879,0.352498,2.053496,3.755792,-2.368590,-0.165388,-0.410542
622.844000,drone3,-1,0.942567,536.040039,65.208221,15.131181,-14.553188,0.000000,container5,16.853757,-15.267380,-2.021442,-1.722576,0.714192,2.021442,2.750193,-2.368101,-0.165345,-0.414837
622.844000,drone3,-1,0.939882,164.882202,479.198532,4.221138,-4.916895,0.000000,container1,7.341039,-5.267379,-2.056652,-3.119901,0.350484,2.056652,3.753190,-2.368101,-0.165345,-0.414837
622.876000,drone3,-1,0.941408,536.151794,65.378464,15.126236,-14.554883,0.000000,container5,16.853263,-15.267467,-2.024756,-1.727027,0.712584,2.024756,2.755002,-2.368324,-0.165342,-0.415190
622.876000,drone3,-1,0.940471,165.108139,479.346947,4.217769,-4.922444,0.000000,container1,7.340507,-5.267479,-2.057998,-3.122738,0.345035,2.057998,3.755782,-2.368324,-0.165342,-0.415190
622.944000,drone3,-1,0.942388,536.255005,66.156158,15.104997,-14.554661,0.000000,container5,16.852265,-15.267642,-2.030975,-1.747268,0.712982,2.030975,2.772390,-2.367849,-0.165292,-0.418857
622.944000,drone3,-1,0.940211,165.359634,479.343910,4.219041,-4.927769,0.000000,container1,7.339441,-5.267680,-2.060220,-3.120399,0.339911,2.060220,3.754589,-2.367849,-0.165292,-0.418857
622.976000,drone3,-1,0.942392,536.214539,65.882843,15.111931,-14.553057,0.000000,container5,16.851761,-15.267730,-2.033875,-1.739830,0.714673,2.033875,2.770273,-2.367905,-0.165283,-0.418987
622.976000,drone3,-1,0.939777,165.424973,479.289467,4.220728,-4.929384,0.000000,container1,7.338907,-5.267781,-2.061096,-3.118179,0.338397,2.061096,3.753088,-2.367905,-0.165283,-0.418987
623.044000,drone3,-1,0.941874,535.859375,66.523712,15.094794,-14.543521,0.000000,container5,16.851254,-15.267819,-2.036634,-1.756460,0.724298,2.036634,2.785253,-2.367496,-0.165233,-0.421535
623.044000,drone3,-1,0.940262,165.291595,479.218254,4.222890,-4.926061,0.000000,container1,7.338372,-5.267882,-2.061813,-3.115482,0.341821,2.061813,3.751552,-2.367496,-0.165233,-0.421535
623.076000,drone3,-1,0.940961,165.256973,479.332695,4.219746,-4.925257,0.000000,container1,7.337303,-5.268084,-2.062772,-3.117556,0.342826,2.062772,3.753894,-2.367458,-0.165220,-0.421485
623.076000,drone3,-1,0.939888,535.954285,66.439865,15.097266,-14.546426,0.000000,container5,16.850232,-15.267997,-2.041720,-1.752966,0.721570,2.041720,2.786068,-2.367458,-0.165220,-0.421485
