epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0628,3.27019,4.51538,4.2088,0.00281,0.56563,0.00563,0.0015,3.5327,4.04527,4.1653,0.000364547,0.000364547,0.000364547
2,29.6123,2.84699,3.80071,3.72765,0.8253,0.15766,0.10032,0.05643,2.65287,5.76391,3.61708,0.000727605,0.000727605,0.000727605
3,44.874,2.52764,3.44746,3.28,0.23267,0.61828,0.39349,0.19171,2.11093,7.53911,2.77647,0.00108333,0.00108333,0.00108333
4,59.6712,2.2039,3.10496,2.88154,0.42286,0.28755,0.24927,0.09937,2.06836,3.98374,2.66092,0.001078,0.001078,0.001078
5,74.5276,1.8195,2.54867,2.54157,0.37271,0.42653,0.40813,0.28101,1.37554,2.10654,2.01629,0.001067,0.001067,0.001067
6,89.2267,1.67558,2.24175,2.34956,0.62901,0.67691,0.73909,0.54655,1.25368,2.78686,1.96165,0.00105601,0.00105601,0.00105601
7,105.35,1.38891,1.91419,2.08305,0.73113,0.72744,0.87868,0.71238,1.01164,1.3796,1.67788,0.00104501,0.00104501,0.00104501
8,120.587,1.22131,1.64763,1.89377,0.95081,0.88796,0.96984,0.83082,0.8028,0.79367,1.45407,0.00103401,0.00103401,0.00103401
9,136.298,1.12351,1.44379,1.76879,0.96455,0.97401,0.98609,0.83121,0.74899,0.72145,1.36313,0.00102301,0.00102301,0.00102301
10,152.02,1.05615,1.31768,1.70289,0.98014,0.93408,0.98218,0.85321,0.67092,0.68452,1.28511,0.00101201,0.00101201,0.00101201
11,167.917,0.97451,1.18327,1.602,0.97239,0.95954,0.98346,0.8656,0.72086,0.644,1.30563,0.00100101,0.00100101,0.00100101
12,184.401,0.94637,1.17255,1.55324,0.93644,0.95313,0.95274,0.84308,0.6037,0.69225,1.17863,0.000990012,0.000990012,0.000990012
13,201.093,0.87562,1.05669,1.48411,0.9525,0.95543,0.98186,0.84504,0.64878,0.65588,1.19967,0.000979013,0.000979013,0.000979013
14,217.052,0.83369,1.01187,1.44835,0.95031,0.92084,0.98237,0.88039,0.6694,0.6708,1.1907,0.000968014,0.000968014,0.000968014
15,232.55,0.83072,0.96327,1.43362,0.99302,0.98202,0.99199,0.88154,0.58427,0.52192,1.13355,0.000957015,0.000957015,0.000957015
16,248.149,0.79233,0.88348,1.37928,0.99711,0.98325,0.99278,0.90225,0.52674,0.47417,1.07267,0.000946016,0.000946016,0.000946016
17,263.721,0.73999,0.84061,1.34033,0.99649,0.98871,0.99332,0.90026,0.54059,0.47634,1.07265,0.000935018,0.000935018,0.000935018
18,279.305,0.76718,0.80603,1.33329,0.98873,0.98342,0.99322,0.91114,0.50985,0.48298,1.05546,0.000924019,0.000924019,0.000924019
19,295.113,0.72213,0.81332,1.31423,0.98253,0.98955,0.99339,0.91053,0.49649,0.4631,1.03032,0.00091302,0.00091302,0.00091302
