stamp,track_id,class,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aq_range_est,aq_range_gt,aq_range_err
621.196000,0,-1,drone3,4.198313,-4.771335,0.000000,container1,7.360584,-5.263788,-1.861885,-3.162270,0.492453,1.861885,3.702577,7.978253,11.104059,-3.125807
621.196000,1,-1,drone3,15.287807,-14.647527,0.000000,container5,16.869409,-15.264523,-1.771868,-1.581602,0.616997,1.771868,2.453908,22.789993,24.474853,-1.684861
621.260000,0,-1,drone3,4.196162,-4.775327,0.000000,container1,7.360302,-5.263836,-1.868250,-3.164141,0.488509,1.868250,3.706856,7.979022,11.105192,-3.126170
621.260000,1,-1,drone3,15.281359,-14.643403,0.000000,container5,16.869244,-15.264555,-1.778530,-1.587884,0.621152,1.778530,2.463813,22.782630,24.475471,-1.692841
621.324000,0,-1,drone3,4.195118,-4.780013,0.000000,container1,7.359712,-5.263937,-1.880832,-3.164594,0.483924,1.880832,3.712999,7.981103,11.107136,-3.126033
621.324000,1,-1,drone3,15.277237,-14.644493,0.000000,container5,16.868885,-15.264623,-1.791848,-1.591648,0.620130,1.791848,2.475605,22.780370,24.476449,-1.696079
621.392000,0,-1,drone3,4.195255,-4.784403,0.000000,container1,7.359087,-5.264045,-1.893192,-3.163832,0.479642,1.893192,3.718073,7.983898,11.108934,-3.125035
621.392000,1,-1,drone3,15.275768,-14.644075,0.000000,container5,16.868489,-15.264698,-1.805131,-1.592720,0.620623,1.805131,2.486047,22.779131,24.477326,-1.698195
621.424000,0,-1,drone3,4.195739,-4.787834,0.000000,container1,7.358761,-5.264101,-1.899281,-3.163022,0.476267,1.899281,3.720054,7.986523,11.110008,-3.123485
621.424000,1,-1,drone3,15.275573,-14.644777,0.000000,container5,16.868277,-15.264738,-1.811751,-1.592704,0.619961,1.811751,2.490683,22.779669,24.477924,-1.698255
621.492000,0,-1,drone3,4.196336,-4.791763,0.000000,container1,7.358085,-5.264220,-1.911257,-3.161749,0.472457,1.911257,3.724618,7.989526,11.111821,-3.122295
621.492000,1,-1,drone3,15.275592,-14.644511,0.000000,container5,16.867825,-15.264823,-1.824930,-1.592233,0.620312,1.824930,2.500072,22.779762,24.478852,-1.699090
621.556000,0,-1,drone3,4.196635,-4.795319,0.000000,container1,7.357734,-5.264282,-1.917139,-3.161099,0.468963,1.917139,3.726647,7.992074,11.112853,-3.120779
621.556000,1,-1,drone3,15.274277,-14.645462,0.000000,container5,16.867586,-15.264867,-1.831481,-1.593309,0.619405,1.831481,2.505318,22.779593,24.479434,-1.699840
621.592000,0,-1,drone3,4.196357,-4.798448,0.000000,container1,7.357009,-5.264411,-1.928671,-3.160652,0.465964,1.928671,3.731838,7.993905,11.114572,-3.120666
621.592000,1,-1,drone3,15.273180,-14.646428,0.000000,container5,16.867080,-15.264962,-1.844489,-1.593900,0.618534,1.844489,2.515003,22.779604,24.480325,-1.700721
621.656000,0,-1,drone3,4.196282,-4.803730,0.000000,container1,7.356253,-5.264547,-1.939875,-3.159971,0.460817,1.939875,3.736427,7.997138,11.116221,-3.119083
621.656000,1,-1,drone3,15.271105,-14.648178,0.000000,container5,16.866538,-15.265063,-1.857348,-1.595433,0.616885,1.857348,2.525014,22.779356,24.481189,-1.701833
621.720000,0,-1,drone3,4.196114,-4.809594,0.000000,container1,7.355863,-5.264617,-1.945346,-3.159749,0.455023,1.945346,3.738373,8.000632,11.117168,-3.116537
