seq,t_sec,stamp_sec,stamp_nsec,drone_idx,drone_ns,mode,latched_surveillance,last_done_target_id,num_targets,primary_track_idx,primary_track_id,primary_class_id,drone_x,drone_y,drone_z,drone_yaw,target_x,target_y,target_z,target_logdetP,qstar_valid,qstar_x,qstar_y,qstar_z,dopt_gain,dist,cost,sep_penalty,ring_z,r_xy,z_err,at_circle,term,cond_logdet,cond_dj,cond_stale,dJ_cur,post_logdetP,has_gt,gt_age_s,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm
0,0.456,110,428000000,0,/drone1,SURVEILLANCE,0,-1,0,-1,-1,-1,6.080,-5.939,10.033,0.007,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
1,0.456,110,428000000,1,/drone2,SURVEILLANCE,0,-1,0,-1,-1,-1,7.258,0.005,10.036,0.009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2,0.456,110,428000000,2,/drone3,SURVEILLANCE,0,-1,0,-1,-1,-1,4.631,4.542,10.054,0.008,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
3,0.828,110,800000000,0,/drone1,SURVEILLANCE,0,-1,0,-1,-1,-1,6.115,-5.970,10.039,0.008,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
4,0.828,110,800000000,1,/drone2,SURVEILLANCE,0,-1,0,-1,-1,-1,7.305,0.006,10.036,0.009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
5,0.828,110,800000000,2,/drone3,SURVEILLANCE,0,-1,0,-1,-1,-1,4.667,4.576,10.053,0.008,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
6,1.412,111,384000000,0,/drone1,SURVEILLANCE,0,-1,0,-1,-1,-1,6.161,-6.015,10.028,0.008,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.412,111,384000000,1,/drone2,SURVEILLANCE,0,-1,0,-1,-1,-1,7.374,-0.003,10.032,0.009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.412,111,384000000,2,/drone3,SURVEILLANCE,0,-1,0,-1,-1,-1,4.724,4.625,10.057,0.008,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.020,111,992000000,0,/drone1,SURVEILLANCE,0,-1,0,-1,-1,-1,6.207,-6.059,10.014,0.008,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
10,2.020,111,992000000,1,/drone2,SURVEILLANCE,0,-1,0,-1,-1,-1,7.440,-0.002,10.035,0.009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
