seq,t_sec,stamp_sec,stamp_nsec,drone_idx,drone_ns,mode,latched_surveillance,last_done_target_id,num_targets,primary_track_idx,primary_track_id,primary_class_id,drone_x,drone_y,drone_z,drone_yaw,target_x,target_y,target_z,target_logdetP,qstar_valid,qstar_x,qstar_y,qstar_z,dopt_gain,dist,cost,sep_penalty,ring_z,r_xy,z_err,at_circle,term,cond_logdet,cond_dj,cond_stale,dJ_cur,post_logdetP,has_gt,gt_age_s,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm
0,528.696,528,696000000,0,/drone1,SURVEILLANCE,0,-1,0,-1,-1,-1,29.865,-6.156,10.031,0.034,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
1,528.696,528,696000000,1,/drone2,SURVEILLANCE,0,-1,0,-1,-1,-1,29.432,2.769,10.063,0.046,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2,528.696,528,696000000,2,/drone3,SURVEILLANCE,0,-1,0,-1,-1,-1,26.957,10.177,10.038,0.063,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
3,528.992,528,992000000,0,/drone1,TRACKING,0,-1,2,1,1,4,29.890,-6.158,10.023,0.034,30.448,-2.507,0.000,-4.778,1,30.448,-4.007,10.000,2.859,10.682,-0.722,0.000,10.000,3.693,0.023,0,1,1,1,0,2.863,-7.641,1,0.008,31.808,-3.264,-1.540,-1.360,0.757,1.540,2.190
4,528.992,528,992000000,1,/drone2,TRACKING,0,-1,2,0,0,3,29.463,2.772,10.056,0.046,27.732,5.462,0.000,-4.778,1,28.482,4.163,10.000,2.884,10.552,-0.774,0.000,10.000,3.198,0.056,0,1,1,1,0,2.895,-7.673,1,0.008,31.790,4.730,-1.540,-4.059,0.732,1.540,4.402
5,528.992,528,992000000,2,/drone3,SURVEILLANCE,0,-1,2,-1,-1,-1,26.990,10.183,10.041,0.063,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
6,529.376,529,376000000,0,/drone1,TRACKING,0,-1,2,1,1,4,29.914,-6.159,10.019,0.034,30.419,-2.516,0.000,-5.633,1,30.419,-4.016,10.000,2.358,10.673,-0.423,0.000,10.000,3.678,0.019,0,1,1,1,0,2.361,-7.994,1,0.032,31.808,-3.264,-1.492,-1.389,0.748,1.492,2.171
7,529.376,529,376000000,1,/drone2,TRACKING,0,-1,2,0,0,3,29.509,2.779,10.054,0.046,27.675,5.495,0.000,-5.633,1,28.425,4.195,10.000,2.375,10.574,-0.460,0.000,10.000,3.277,0.054,0,1,1,1,0,2.384,-8.018,1,0.032,31.790,4.730,-1.489,-4.115,0.765,1.489,4.443
8,529.376,529,376000000,2,/drone3,SURVEILLANCE,0,-1,2,-1,-1,-1,27.039,10.182,10.047,0.063,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
9,529.808,529,808000000,0,/drone1,TRACKING,0,-1,2,1,1,4,29.963,-6.170,10.035,0.034,30.770,-2.474,0.000,-5.819,1,30.770,-3.974,10.000,2.252,10.724,-0.307,0.000,10.000,3.783,0.035,0,1,1,1,0,2.257,-8.076,1,0.032,31.809,-3.263,-1.453,-1.039,0.790,1.453,1.952
10,529.808,529,808000000,1,/drone2,TRACKING,0,-1,2,0,0,3,29.557,2.790,10.042,0.046,27.921,4.584,0.000,-2.985,1,28.671,3.285,10.000,4.128,10.331,-2.261,0.000,10.000,2.429,0.042,0,1,1,1,0,4.138,-7.122,1,0.032,31.791,4.730,-1.447,-3.871,-0.146,1.447,4.135
