stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
119476000000,/,drone2,0,0,"container1",world,11.4988,-5.61628,0,0.666781,0,0,0,0.666781,0,0,0,1.20037
119580000000,/,drone2,0,0,"container1",world,11.5026,-5.61763,0,0.607491,0,0,0,0.607491,0,0,0,1.13359
119700000000,/,drone2,0,0,"container1",world,11.5047,-5.61887,0,0.578555,0,0,0,0.578555,0,0,0,1.09697
119800000000,/,drone2,0,0,"container1",world,11.5069,-5.62013,0,0.549225,0,0,0,0.549225,0,0,0,1.05863
119912000000,/,drone2,0,0,"container1",world,11.5091,-5.6214,0,0.519498,0,0,0,0.519498,0,0,0,1.01845
120040000000,/,drone2,0,0,"container1",world,11.5127,-5.62538,0,0.499843,0,0,0,0.499843,0,0,0,0.983539
120144000000,/,drone2,0,0,"container1",world,11.5181,-5.63082,0,0.479526,0,0,0,0.479526,0,0,0,0.946866
120268000000,/,drone2,0,0,"container1",world,11.5248,-5.63786,0,0.458566,0,0,0,0.458566,0,0,0,0.909966
120372000000,/,drone2,0,0,"container1",world,11.5324,-5.64523,0,0.437137,0,0,0,0.437137,0,0,0,0.873258
120472000000,/,drone2,0,0,"container1",world,11.5415,-5.65336,0,0.415419,0,0,0,0.415419,0,0,0,0.83695
120584000000,/,drone2,0,0,"container1",world,11.5524,-5.66281,0,0.393912,0,0,0,0.393912,0,0,0,0.801962
120684000000,/,drone2,0,0,"container1",world,11.5643,-5.67364,0,0.372814,0,0,0,0.372814,0,0,0,0.767968
120800000000,/,drone2,0,0,"container1",world,11.577,-5.68495,0,0.35219,0,0,0,0.35219,0,0,0,0.734438
120904000000,/,drone2,0,0,"container1",world,11.5907,-5.69748,0,0.331748,0,0,0,0.331748,0,0,0,0.700581
121036000000,/,drone2,0,0,"container1",world,11.6052,-5.71108,0,0.31172,0,0,0,0.31172,0,0,0,0.66656
121148000000,/,drone2,0,0,"container1",world,11.6208,-5.72589,0,0.291816,0,0,0,0.291816,0,0,0,0.631688
121244000000,/,drone2,0,0,"container1",world,11.6375,-5.74222,0,0.272159,0,0,0,0.272159,0,0,0,0.595954
121348000000,/,drone2,0,0,"container1",world,11.6546,-5.75966,0,0.252538,0,0,0,0.252538,0,0,0,0.559019
121456000000,/,drone2,0,0,"container1",world,11.6717,-5.7778,0,0.233024,0,0,0,0.233024,0,0,0,0.52122
121564000000,/,drone2,0,0,"container1",world,11.6861,-5.79774,0,0.213725,0,0,0,0.213725,0,0,0,0.482414
121672000000,/,drone2,0,0,"container1",world,11.7011,-5.81599,0,0.194689,0,0,0,0.194689,0,0,0,0.442791
121788000000,/,drone2,0,0,"container1",world,11.7171,-5.83379,0,0.175876,0,0,0,0.175876,0,0,0,0.402773
121900000000,/,drone2,0,0,"container1",world,11.7325,-5.85094,0,0.157741,0,0,0,0.157741,0,0,0,0.363669
122000000000,/,drone2,0,0,"container1",world,11.7567,-5.85797,0,0.141041,0,0,0,0.141041,0,0,0,0.326002
122112000000,/,drone2,0,0,"container1",world,11.7811,-5.86123,0,0.126095,0,0,0,0.126095,0,0,0,0.292026
122204000000,/,drone2,0,0,"container1",world,11.8016,-5.86396,0,0.113542,0,0,0,0.113542,0,0,0,0.263389
122308000000,/,drone2,0,0,"container1",world,11.831,-5.84985,0,0.103953,0,0,0,0.103953,0,0,0,0.240907
122416000000,/,drone2,0,0,"container1",world,11.8577,-5.83277,0,0.0973809,0,0,0,0.0973809,0,0,0,0.2253
122532000000,/,drone2,0,0,"container1",world,11.8814,-5.81435,0,0.0933525,0,0,0,0.0933525,0,0,0,0.215601
122624000000,/,drone2,0,0,"container1",world,11.901,-5.79491,0,0.0907137,0,0,0,0.0907137,0,0,0,0.209431
122736000000,/,drone2,0,0,"container1",world,11.9143,-5.77514,0,0.0893586,0,0,0,0.0893586,0,0,0,0.206182
122848000000,/,drone2,0,0,"container1",world,11.9219,-5.75568,0,0.0887529,0,0,0,0.0887529,0,0,0,0.204647
122984000000,/,drone2,0,0,"container1",world,11.9232,-5.73496,0,0.0884743,0,0,0,0.0884743,0,0,0,0.203893
122984000000,/,drone2,14,1,"container2",world,13.3998,3.48732,0,0.455154,0,0,0,0.455154,0,0,0,1.12985
123060000000,/,drone2,0,0,"container1",world,11.9209,-5.72035,0,0.0881044,0,0,0,0.0881044,0,0,0,0.203106
123060000000,/,drone2,14,1,"container2",world,13.4016,3.491,0,0.404599,0,0,0,0.404599,0,0,0,1.02424
123168000000,/,drone2,0,0,"container1",world,11.9152,-5.70868,0,0.0881315,0,0,0,0.0881315,0,0,0,0.203096
123168000000,/,drone2,14,1,"container2",world,13.4036,3.49344,0,0.365267,0,0,0,0.365267,0,0,0,0.937288
123284000000,/,drone2,0,0,"container1",world,11.9028,-5.69416,0,0.0880112,0,0,0,0.0880112,0,0,0,0.202866
123284000000,/,drone2,14,1,"container2",world,13.4056,3.4943,0,0.340574,0,0,0,0.340574,0,0,0,0.874917
123388000000,/,drone2,0,0,"container1",world,11.8934,-5.68041,0,0.0879793,0,0,0,0.0879793,0,0,0,0.202793
123388000000,/,drone2,14,1,"container2",world,13.4077,3.49453,0,0.318025,0,0,0,0.318025,0,0,0,0.814709
