stamp_ns,node_ns,src_drone_ns,src_track_id,class_id,class_name,associated_track_id,is_new_track,mahalanobis_d2,association_threshold,pre_x,pre_y,pre_z,meas_x,meas_y,meas_z,post_x,post_y,post_z,pre_cov_det,meas_cov_det,post_cov_det,omega_used
119352000000,/,drone2,0,0,"container1",0,1,inf,8,0,0,0,11.4988,-5.61628,0,11.4988,-5.61628,0,0,0.533681,0.533681,0
119476000000,/,drone2,0,0,"container1",0,0,0.00101082,8,11.4988,-5.61628,0,11.5271,-5.62635,0,11.5026,-5.61763,0,0.533681,0.028053,0.418345,0.0499401
119580000000,/,drone2,0,0,"container1",0,0,0.00224563,8,11.5026,-5.61763,0,11.5379,-5.63793,0,11.5047,-5.61887,0,0.418345,0.00596269,0.367183,0.0140528
119700000000,/,drone2,0,0,"container1",0,0,0.00206045,8,11.5047,-5.61887,0,11.5379,-5.63793,0,11.5069,-5.62013,0,0.367183,0.00596269,0.319333,0.0159795
119800000000,/,drone2,0,0,"container1",0,0,0.00187523,8,11.5069,-5.62013,0,11.5379,-5.63793,0,11.5091,-5.6214,0,0.319333,0.00596269,0.274857,0.0183301
119912000000,/,drone2,0,0,"container1",0,0,0.019584,8,11.5091,-5.6214,0,11.5839,-5.70375,0,11.5127,-5.62538,0,0.274857,0.00301907,0.245731,0.0108648
120040000000,/,drone2,0,0,"container1",0,0,0.0342737,8,11.5127,-5.62538,0,11.6144,-5.72884,0,11.5181,-5.63082,0,0.245731,0.00310954,0.217727,0.0124961
120144000000,/,drone2,0,0,"container1",0,0,0.0487742,8,11.5181,-5.63082,0,11.6352,-5.75399,0,11.5248,-5.63786,0,0.217727,0.00310715,0.19135,0.01407
120268000000,/,drone2,0,0,"container1",0,0,0.0519195,8,11.5248,-5.63786,0,11.6485,-5.75733,0,11.5324,-5.64523,0,0.19135,0.00304417,0.166869,0.0156597
120372000000,/,drone2,0,0,"container1",0,0,0.0623123,8,11.5324,-5.64523,0,11.6698,-5.76821,0,11.5415,-5.65336,0,0.166869,0.00293484,0.144435,0.0172836
120472000000,/,drone2,0,0,"container1",0,0,0.0837289,8,11.5415,-5.65336,0,11.6991,-5.79004,0,11.5524,-5.66281,0,0.144435,0.00269478,0.124438,0.0183157
120584000000,/,drone2,0,0,"container1",0,0,0.101974,8,11.5524,-5.66281,0,11.7188,-5.81347,0,11.5643,-5.67364,0,0.124438,0.00245362,0.10674,0.0193364
120684000000,/,drone2,0,0,"container1",0,0,0.109962,8,11.5643,-5.67364,0,11.7339,-5.82496,0,11.577,-5.68495,0,0.10674,0.00224277,0.0910982,0.0205792
120800000000,/,drone2,0,0,"container1",0,0,0.121449,8,11.577,-5.68495,0,11.7487,-5.84259,0,11.5907,-5.69748,0,0.0910982,0.00212141,0.0771035,0.0227571
120904000000,/,drone2,0,0,"container1",0,0,0.133509,8,11.5907,-5.69748,0,11.7646,-5.85998,0,11.6052,-5.71108,0,0.0771035,0.00196566,0.0647693,0.0248601
121036000000,/,drone2,0,0,"container1",0,0,0.140184,8,11.6052,-5.71108,0,11.7774,-5.87497,0,11.6208,-5.72589,0,0.0647693,0.00188529,0.0537922,0.0282845
121148000000,/,drone2,0,0,"container1",0,0,0.150342,8,11.6208,-5.72589,0,11.792,-5.89354,0,11.6375,-5.74222,0,0.0537922,0.00179252,0.0441426,0.0322484
121244000000,/,drone2,0,0,"container1",0,0,0.143414,8,11.6375,-5.74222,0,11.7973,-5.9045,0,11.6546,-5.75966,0,0.0441426,0.00174915,0.0356516,0.0381147
121348000000,/,drone2,0,0,"container1",0,0,0.128042,8,11.6546,-5.75966,0,11.7979,-5.91186,0,11.6717,-5.7778,0,0.0356516,0.00169462,0.0283022,0.0453759
121456000000,/,drone2,0,0,"container1",0,0,0.106194,8,11.6717,-5.7778,0,11.7799,-5.92747,0,11.6861,-5.79774,0,0.0283022,0.00164779,0.0220358,0.055018
121456000000,/,drone2,1,1,"container2",1,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
121584000000,/,drone2,0,0,"container1",0,0,0.0805765,8,11.6861,-5.79774,0,11.7851,-5.91824,0,11.7011,-5.81599,0,0.0220358,0.00161875,0.0167834,0.068433
121584000000,/,drone2,1,1,"container2",2,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
121672000000,/,drone2,0,0,"container1",0,0,0.064136,8,11.7011,-5.81599,0,11.7911,-5.91632,0,11.7171,-5.83379,0,0.0167834,0.00164801,0.0124587,0.089413
121672000000,/,drone2,1,1,"container2",3,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
121788000000,/,drone2,0,0,"container1",0,0,0.0464852,8,11.7171,-5.83379,0,11.7911,-5.91632,0,11.7325,-5.85094,0,0.0124587,0.00164801,0.00904891,0.116824
121788000000,/,drone2,1,1,"container2",4,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
121900000000,/,drone2,0,0,"container1",0,0,0.0448414,8,11.7325,-5.85094,0,11.8333,-5.88021,0,11.7567,-5.85797,0,0.00904891,0.00160054,0.00648501,0.150293
121900000000,/,drone2,1,1,"container2",5,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122000000000,/,drone2,0,0,"container1",0,0,0.033665,8,11.7567,-5.85797,0,11.8437,-5.86958,0,11.7811,-5.86123,0,0.00648501,0.00157316,0.00464317,0.195225
122000000000,/,drone2,1,1,"container2",6,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122112000000,/,drone2,0,0,"container1",0,0,0.0186453,8,11.7811,-5.86123,0,11.8437,-5.86958,0,11.8016,-5.86396,0,0.00464317,0.00157316,0.00339557,0.253069
122112000000,/,drone2,1,1,"container2",7,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122204000000,/,drone2,0,0,"container1",0,0,0.0375917,8,11.8016,-5.86396,0,11.88,-5.82625,0,11.831,-5.84985,0,0.00339557,0.00157222,0.0026033,0.316483
122204000000,/,drone2,1,1,"container2",8,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122308000000,/,drone2,0,0,"container1",0,0,0.0299587,8,11.831,-5.84985,0,11.8949,-5.80896,0,11.8577,-5.83277,0,0.0026033,0.00158475,0.00213653,0.378399
122308000000,/,drone2,1,1,"container2",9,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122416000000,/,drone2,0,0,"container1",0,0,0.0238532,8,11.8577,-5.83277,0,11.9102,-5.79194,0,11.8814,-5.81435,0,0.00213653,0.00159479,0.0018789,0.427407
122416000000,/,drone2,1,1,"container2",10,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122532000000,/,drone2,0,0,"container1",0,0,0.0192082,8,11.8814,-5.81435,0,11.9233,-5.77289,0,11.901,-5.79491,0,0.0018789,0.00155787,0.0017234,0.453295
122532000000,/,drone2,1,1,"container2",11,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122624000000,/,drone2,0,0,"container1",0,0,0.0135515,8,11.901,-5.79491,0,11.9285,-5.75407,0,11.9143,-5.77514,0,0.0017234,0.00156682,0.00164635,0.476204
122624000000,/,drone2,1,1,"container2",12,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122736000000,/,drone2,0,0,"container1",0,0,0.0101406,8,11.9143,-5.77514,0,11.9298,-5.73565,0,11.9219,-5.75568,0,0.00164635,0.00157719,0.00161202,0.489273
122736000000,/,drone2,1,1,"container2",13,1,inf,8,0,0,0,13.3039,3.29704,0,13.3039,3.29704,0,0,8,8,0
122848000000,/,drone2,0,0,"container1",0,0,0.00987608,8,11.9219,-5.75568,0,11.9244,-5.71395,0,11.9232,-5.73496,0,0.00161202,0.0015799,0.00159601,0.494969
122848000000,/,drone2,1,1,"container2",14,1,inf,8,0,0,0,13.3998,3.48732,0,13.3998,3.48732,0,0,0.234064,0.234064,0
122984000000,/,drone2,0,0,"container1",0,0,0.00505228,8,11.9232,-5.73496,0,11.9185,-5.70549,0,11.9209,-5.72035,0,0.00159601,0.00155699,0.00157658,0.493812
122984000000,/,drone2,1,1,"container2",14,0,0.000396612,8,13.3998,3.48732,0,13.4071,3.50234,0,13.4016,3.491,0,0.234064,0.0414665,0.167669,0.150497
123060000000,/,drone2,0,0,"container1",0,0,0.00381151,8,11.9209,-5.72035,0,11.9096,-5.69701,0,11.9152,-5.70868,0,0.00157658,0.00157837,0.00157748,0.500284
123060000000,/,drone2,1,1,"container2",14,0,0.000568192,8,13.4016,3.491,0,13.4132,3.50505,0,13.4036,3.49344,0,0.167669,0.0155248,0.125053,0.0847451
123168000000,/,drone2,0,0,"container1",0,0,0.00829861,8,11.9152,-5.70868,0,11.8904,-5.67958,0,11.9028,-5.69416,0,0.00157748,0.00156529,0.00157139,0.498061
