stamp_ns,node_ns,raw_total_cum,pruned_total_cum,active_tracks,raw_classes_cum,pruned_classes_cum,raw_total_cum_drone1,pruned_total_cum_drone1,raw_classes_cum_drone1,pruned_classes_cum_drone1,raw_total_cum_drone2,pruned_total_cum_drone2,raw_classes_cum_drone2,pruned_classes_cum_drone2,raw_total_cum_drone3,pruned_total_cum_drone3,raw_classes_cum_drone3,pruned_classes_cum_drone3
0,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
0,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
110700000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
111248000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
111848000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
112468000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
113040000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
113624000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
114208000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
114808000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
115404000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
116000000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
116576000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
117156000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
117756000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
118348000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
118912000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
119476000000,/,1,0,1,"0:container1=1","",0,0,"","",1,0,"0:container1=1","",0,0,"",""
120040000000,/,6,0,1,"0:container1=6","",0,0,"","",6,0,"0:container1=6","",0,0,"",""
120584000000,/,11,0,1,"0:container1=11","",0,0,"","",11,0,"0:container1=11","",0,0,"",""
121144000000,/,16,0,1,"0:container1=16","",0,0,"","",16,0,"0:container1=16","",0,0,"",""
121672000000,/,23,2,1,"0:container1=21;1:container2=2","1:container2=2",0,0,"","",23,2,"0:container1=21;1:container2=2","1:container2=2",0,0,"",""
122204000000,/,33,7,1,"0:container1=26;1:container2=7","1:container2=7",0,0,"","",33,7,"0:container1=26;1:container2=7","1:container2=7",0,0,"",""
122736000000,/,43,12,1,"0:container1=31;1:container2=12","1:container2=12",0,0,"","",43,12,"0:container1=31;1:container2=12","1:container2=12",0,0,"",""
123284000000,/,53,13,2,"0:container1=36;1:container2=17","1:container2=13",0,0,"","",53,13,"0:container1=36;1:container2=17","1:container2=13",0,0,"",""
123800000000,/,63,13,2,"0:container1=41;1:container2=22","1:container2=13",0,0,"","",63,13,"0:container1=41;1:container2=22","1:container2=13",0,0,"",""
124384000000,/,73,13,2,"0:container1=46;1:container2=27","1:container2=13",0,0,"","",73,13,"0:container1=46;1:container2=27","1:container2=13",0,0,"",""
124776000000,/,83,13,2,"0:container1=51;1:container2=32","1:container2=13",0,0,"","",83,13,"0:container1=51;1:container2=32","1:container2=13",0,0,"",""
