stamp_ns,node_ns,track_id,class_id,class_name,drones_seen,age_supported_s,mahal_misses,best_d2,reason_time,reason_mahal,prune_time_s,mahal_prune_threshold,mahal_max_misses,age_update_s,reason_stale,reason_cov,reason_done,logdet_pos,max_std_pos,prune_cov_logdet_max,prune_cov_max_std_m,prune_done_enabled,prune_done_logdet
121456000000,/,1,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
121584000000,/,2,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
121672000000,/,3,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
121788000000,/,4,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
121900000000,/,5,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122000000000,/,6,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122112000000,/,7,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122204000000,/,8,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122308000000,/,9,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122416000000,/,10,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122532000000,/,11,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122624000000,/,12,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
122736000000,/,13,1,"container2","drone2",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
136652000000,/,0,0,"container1","drone1;drone2",0,0,0.397574,0,0,0.8,1.5,3,0,0,1,0,2.06786,1.41285,1,1.3,0,-0.2
136688000000,/,15,0,"container1","drone1;drone2",0,0,0.40217,0,0,0.8,1.5,3,0,0,1,0,2.06839,1.41292,1,1.3,0,-0.2
136736000000,/,16,0,"container1","drone1;drone2",0,0,0.405474,0,0,0.8,1.5,3,0,0,1,0,2.06871,1.41295,1,1.3,0,-0.2
136788000000,/,17,0,"container1","drone1;drone2",0,0,0.405474,0,0,0.8,1.5,3,0,0,1,0,2.06871,1.41295,1,1.3,0,-0.2
136816000000,/,18,0,"container1","drone1;drone2",0,0,0.405191,0,0,0.8,1.5,3,0,0,1,0,2.0689,1.41297,1,1.3,0,-0.2
136880000000,/,19,0,"container1","drone1;drone2",0,0,0.405191,0,0,0.8,1.5,3,0,0,1,0,2.0689,1.41297,1,1.3,0,-0.2
136900000000,/,20,0,"container1","drone1;drone2",0,0,0.405958,0,0,0.8,1.5,3,0,0,1,0,2.06892,1.41297,1,1.3,0,-0.2
136968000000,/,21,0,"container1","drone1;drone2",0,0,0.405156,0,0,0.8,1.5,3,0,0,1,0,2.0691,1.41299,1,1.3,0,-0.2
137000000000,/,22,0,"container1","drone1;drone2",0,0,0.404238,0,0,0.8,1.5,3,0,0,1,0,2.06898,1.41297,1,1.3,0,-0.2
137052000000,/,23,0,"container1","drone1;drone2",0,0,0.403452,0,0,0.8,1.5,3,0,0,1,0,2.06913,1.41299,1,1.3,0,-0.2
154188000000,/,25,2,"container3","drone3",0,0,0,0,0,0.8,1.5,3,0,0,1,0,2.07944,1.41421,1,1.3,0,-0.2
165300000000,/,14,1,"container2","drone2;drone3",0,0,0.17442,0,0,0.8,1.5,3,0,0,1,0,0.0018131,1.31846,1,1.3,0,-0.2
165352000000,/,27,1,"container2","drone2;drone3",0,0,0.367485,0,0,0.8,1.5,3,0,0,1,0,0.00198192,1.31852,1,1.3,0,-0.2
187536000000,/,24,0,"container1","drone1;drone2",0,0,0.258205,0,0,0.8,1.5,3,0,0,1,0,0.00221544,1.31861,1,1.3,0,-0.2
