stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
528892000000,/,drone2,0,3,"container4",world,27.7373,5.45776,0,0.165081,0,0,0,0.165081,0,0,0,0.419876
528892000000,/,drone2,1,4,"container5",world,30.4499,-2.50583,0,0.165081,0,0,0,0.165081,0,0,0,0.419876
528956000000,/,drone2,0,3,"container4",world,27.7318,5.46184,0,0.149989,0,0,0,0.149989,0,0,0,0.373905
528956000000,/,drone2,1,4,"container5",world,30.4479,-2.50689,0,0.149989,0,0,0,0.149989,0,0,0,0.373905
529000000000,/,drone2,0,3,"container4",world,27.7275,5.46498,0,0.138392,0,0,0,0.138392,0,0,0,0.339802
529000000000,/,drone2,1,4,"container5",world,30.4464,-2.5077,0,0.138392,0,0,0,0.138392,0,0,0,0.339802
529092000000,/,drone2,0,3,"container4",world,27.7246,5.46715,0,0.130376,0,0,0,0.130376,0,0,0,0.316826
529092000000,/,drone2,1,4,"container5",world,30.4454,-2.50826,0,0.130376,0,0,0,0.130376,0,0,0,0.316826
529188000000,/,drone2,0,3,"container4",world,27.7088,5.47496,0,0.124023,0,0,0,0.124023,0,0,0,0.286024
529188000000,/,drone2,1,4,"container5",world,30.4362,-2.51084,0,0.124023,0,0,0,0.124023,0,0,0,0.286024
529256000000,/,drone2,0,3,"container4",world,27.6912,5.48406,0,0.120177,0,0,0,0.120177,0,0,0,0.267544
529256000000,/,drone2,1,4,"container5",world,30.4267,-2.51355,0,0.120177,0,0,0,0.120177,0,0,0,0.267544
529320000000,/,drone2,0,3,"container4",world,27.6752,5.49453,0,0.11763,0,0,0,0.11763,0,0,0,0.258448
529320000000,/,drone2,1,4,"container5",world,30.419,-2.51566,0,0.11763,0,0,0,0.11763,0,0,0,0.258448
529404000000,/,drone2,0,3,"container4",world,27.665,5.50193,0,0.115769,0,0,0,0.115769,0,0,0,0.253613
529404000000,/,drone2,1,4,"container5",world,30.4146,-2.51695,0,0.115769,0,0,0,0.115769,0,0,0,0.253613
529500000000,/,drone2,0,3,"container4",world,27.6538,5.51118,0,0.113833,0,0,0,0.113833,0,0,0,0.252149
529500000000,/,drone1,1,4,"container5",world,30.6654,-2.48288,0,0.113429,0,0,0,0.113429,0,0,0,0.255352
529592000000,/,drone2,0,3,"container4",world,27.9591,4.45624,0,0.378852,0,0,0,0.378852,0,0,0,0.814884
529592000000,/,drone1,1,4,"container5",world,30.7322,-2.47478,0,0.11248,0,0,0,0.11248,0,0,0,0.253072
529684000000,/,drone2,0,3,"container4",world,27.9405,4.51861,0,0.328941,0,0,0,0.328941,0,0,0,0.723944
529684000000,/,drone1,1,4,"container5",world,30.7532,-2.47514,0,0.110853,0,0,0,0.110853,0,0,0,0.246297
529780000000,/,drone2,0,3,"container4",world,27.9207,4.58411,0,0.282903,0,0,0,0.282903,0,0,0,0.631604
529780000000,/,drone1,1,4,"container5",world,30.7704,-2.47382,0,0.110454,0,0,0,0.110454,0,0,0,0.243536
529872000000,/,drone2,0,3,"container4",world,27.9024,4.64378,0,0.236837,0,0,0,0.236837,0,0,0,0.53704
529872000000,/,drone1,1,4,"container5",world,30.7869,-2.47206,0,0.110069,0,0,0,0.110069,0,0,0,0.243821
