stamp_ns,node_ns,raw_total_cum,pruned_total_cum,active_tracks,raw_classes_cum,pruned_classes_cum,raw_total_cum_drone1,pruned_total_cum_drone1,raw_classes_cum_drone1,pruned_classes_cum_drone1,raw_total_cum_drone2,pruned_total_cum_drone2,raw_classes_cum_drone2,pruned_classes_cum_drone2,raw_total_cum_drone3,pruned_total_cum_drone3,raw_classes_cum_drone3,pruned_classes_cum_drone3
0,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
0,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
528232000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
528544000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
528800000000,/,0,0,0,"","",0,0,"","",0,0,"","",0,0,"",""
529188000000,/,10,0,2,"3:container4=5;4:container5=5","",0,0,"","",10,0,"3:container4=5;4:container5=5","",0,0,"",""
529592000000,/,23,0,2,"3:container4=11;4:container5=12","",2,0,"4:container5=2","",20,0,"3:container4=10;4:container5=10","",1,0,"3:container4=1",""
530072000000,/,43,0,2,"3:container4=21;4:container5=22","",7,0,"4:container5=7","",30,0,"3:container4=15;4:container5=15","",6,0,"3:container4=6",""
530560000000,/,63,0,2,"3:container4=31;4:container5=32","",12,0,"4:container5=12","",40,0,"3:container4=20;4:container5=20","",11,0,"3:container4=11",""
530972000000,/,83,0,2,"3:container4=41;4:container5=42","",17,0,"4:container5=17","",50,0,"3:container4=25;4:container5=25","",16,0,"3:container4=16",""
531400000000,/,103,0,2,"3:container4=51;4:container5=52","",22,0,"4:container5=22","",60,0,"3:container4=30;4:container5=30","",21,0,"3:container4=21",""
531796000000,/,123,0,2,"3:container4=61;4:container5=62","",27,0,"4:container5=27","",70,0,"3:container4=35;4:container5=35","",26,0,"3:container4=26",""
532192000000,/,143,0,2,"3:container4=71;4:container5=72","",32,0,"4:container5=32","",80,0,"3:container4=40;4:container5=40","",31,0,"3:container4=31",""
532600000000,/,163,0,2,"3:container4=81;4:container5=82","",37,0,"4:container5=37","",90,0,"3:container4=45;4:container5=45","",36,0,"3:container4=36",""
532984000000,/,183,0,2,"3:container4=91;4:container5=92","",42,0,"4:container5=42","",100,0,"3:container4=50;4:container5=50","",41,0,"3:container4=41",""
533384000000,/,203,0,2,"3:container4=101;4:container5=102","",47,0,"4:container5=47","",110,0,"3:container4=55;4:container5=55","",46,0,"3:container4=46",""
533788000000,/,223,0,2,"3:container4=111;4:container5=112","",52,0,"4:container5=52","",120,0,"3:container4=60;4:container5=60","",51,0,"3:container4=51",""
534200000000,/,243,0,2,"3:container4=121;4:container5=122","",57,0,"4:container5=57","",130,0,"3:container4=65;4:container5=65","",56,0,"3:container4=56",""
534600000000,/,263,0,2,"3:container4=131;4:container5=132","",62,0,"4:container5=62","",140,0,"3:container4=70;4:container5=70","",61,0,"3:container4=61",""
534996000000,/,283,0,2,"3:container4=141;4:container5=142","",67,0,"4:container5=67","",150,0,"3:container4=75;4:container5=75","",66,0,"3:container4=66",""
535388000000,/,303,0,2,"3:container4=151;4:container5=152","",72,0,"4:container5=72","",160,0,"3:container4=80;4:container5=80","",71,0,"3:container4=71",""
535792000000,/,323,0,2,"3:container4=161;4:container5=162","",77,0,"4:container5=77","",170,0,"3:container4=85;4:container5=85","",76,0,"3:container4=76",""
536184000000,/,343,0,2,"3:container4=171;4:container5=172","",82,0,"4:container5=82","",180,0,"3:container4=90;4:container5=90","",81,0,"3:container4=81",""
536580000000,/,363,0,2,"3:container4=181;4:container5=182","",87,0,"4:container5=87","",190,0,"3:container4=95;4:container5=95","",86,0,"3:container4=86",""
536980000000,/,383,0,2,"3:container4=191;4:container5=192","",92,0,"4:container5=92","",200,0,"3:container4=100;4:container5=100","",91,0,"3:container4=91",""
537328000000,/,403,0,2,"3:container4=201;4:container5=202","",97,0,"4:container5=97","",210,0,"3:container4=105;4:container5=105","",96,0,"3:container4=96",""
537700000000,/,423,0,2,"3:container4=211;4:container5=212","",102,0,"4:container5=102","",220,0,"3:container4=110;4:container5=110","",101,0,"3:container4=101",""
538100000000,/,443,0,2,"3:container4=221;4:container5=222","",107,0,"4:container5=107","",230,0,"3:container4=115;4:container5=115","",106,0,"3:container4=106",""
538364000000,/,463,0,2,"3:container4=231;4:container5=232","",112,0,"4:container5=112","",240,0,"3:container4=120;4:container5=120","",111,0,"3:container4=111",""
538596000000,/,483,0,2,"3:container4=241;4:container5=242","",117,0,"4:container5=117","",250,0,"3:container4=125;4:container5=125","",116,0,"3:container4=116",""
538800000000,/,503,0,2,"3:container4=251;4:container5=252","",122,0,"4:container5=122","",260,0,"3:container4=130;4:container5=130","",121,0,"3:container4=121",""
539012000000,/,523,0,2,"3:container4=261;4:container5=262","",127,0,"4:container5=127","",270,0,"3:container4=135;4:container5=135","",126,0,"3:container4=126",""
539256000000,/,543,0,2,"3:container4=271;4:container5=272","",132,0,"4:container5=132","",280,0,"3:container4=140;4:container5=140","",131,0,"3:container4=131",""
539488000000,/,563,0,2,"3:container4=281;4:container5=282","",137,0,"4:container5=137","",290,0,"3:container4=145;4:container5=145","",136,0,"3:container4=136",""
539800000000,/,583,0,2,"3:container4=291;4:container5=292","",142,0,"4:container5=142","",300,0,"3:container4=150;4:container5=150","",141,0,"3:container4=141",""
540164000000,/,603,0,2,"3:container4=301;4:container5=302","",147,0,"4:container5=147","",310,0,"3:container4=155;4:container5=155","",146,0,"3:container4=146",""
540476000000,/,623,0,2,"3:container4=311;4:container5=312","",152,0,"4:container5=152","",320,0,"3:container4=160;4:container5=160","",151,0,"3:container4=151",""
540872000000,/,643,0,2,"3:container4=321;4:container5=322","",157,0,"4:container5=157","",330,0,"3:container4=165;4:container5=165","",156,0,"3:container4=156",""
541300000000,/,663,0,2,"3:container4=331;4:container5=332","",162,0,"4:container5=162","",340,0,"3:container4=170;4:container5=170","",161,0,"3:container4=161",""
541696000000,/,683,0,2,"3:container4=341;4:container5=342","",167,0,"4:container5=167","",350,0,"3:container4=175;4:container5=175","",166,0,"3:container4=166",""
542100000000,/,703,0,2,"3:container4=351;4:container5=352","",172,0,"4:container5=172","",360,0,"3:container4=180;4:container5=180","",171,0,"3:container4=171",""
542456000000,/,723,0,2,"3:container4=361;4:container5=362","",177,0,"4:container5=177","",370,0,"3:container4=185;4:container5=185","",176,0,"3:container4=176",""
542760000000,/,743,0,2,"3:container4=371;4:container5=372","",182,0,"4:container5=182","",380,0,"3:container4=190;4:container5=190","",181,0,"3:container4=181",""
543100000000,/,763,0,2,"3:container4=381;4:container5=382","",187,0,"4:container5=187","",390,0,"3:container4=195;4:container5=195","",186,0,"3:container4=186",""
543368000000,/,783,0,2,"3:container4=391;4:container5=392","",192,0,"4:container5=192","",400,0,"3:container4=200;4:container5=200","",191,0,"3:container4=191",""
543600000000,/,799,0,2,"3:container4=399;4:container5=400","",196,0,"4:container5=196","",408,0,"3:container4=204;4:container5=204","",195,0,"3:container4=195",""
543844000000,/,823,0,2,"3:container4=411;4:container5=412","",202,0,"4:container5=202","",420,0,"3:container4=210;4:container5=210","",201,0,"3:container4=201",""
544100000000,/,843,0,2,"3:container4=421;4:container5=422","",207,0,"4:container5=207","",430,0,"3:container4=215;4:container5=215","",206,0,"3:container4=206",""
544300000000,/,859,0,2,"3:container4=429;4:container5=430","",211,0,"4:container5=211","",438,0,"3:container4=219;4:container5=219","",210,0,"3:container4=210",""
544536000000,/,883,0,2,"3:container4=441;4:container5=442","",217,0,"4:container5=217","",450,0,"3:container4=225;4:container5=225","",216,0,"3:container4=216",""
544776000000,/,903,0,2,"3:container4=451;4:container5=452","",222,0,"4:container5=222","",460,0,"3:container4=230;4:container5=230","",221,0,"3:container4=221",""
545064000000,/,923,0,2,"3:container4=461;4:container5=462","",227,0,"4:container5=227","",470,0,"3:container4=235;4:container5=235","",226,0,"3:container4=226",""
545456000000,/,943,0,2,"3:container4=471;4:container5=472","",232,0,"4:container5=232","",480,0,"3:container4=240;4:container5=240","",231,0,"3:container4=231",""
545696000000,/,963,0,2,"3:container4=481;4:container5=482","",237,0,"4:container5=237","",490,0,"3:container4=245;4:container5=245","",236,0,"3:container4=236",""
546052000000,/,983,0,2,"3:container4=491;4:container5=492","",242,0,"4:container5=242","",500,0,"3:container4=250;4:container5=250","",241,0,"3:container4=241",""
546420000000,/,1003,0,2,"3:container4=501;4:container5=502","",247,0,"4:container5=247","",510,0,"3:container4=255;4:container5=255","",246,0,"3:container4=246",""
