10.196000000,3x3
4.5922,4.5922,4.5922
4.2691,4.2691,4.2691
4.52589,4.52589,4.52589
10.600000000,3x3
4.7716,4.7716,4.7716
4.43101,4.43101,4.43101
4.71388,4.71388,4.71388
11.28000000,3x3
5.15827,5.15827,5.15827
4.79781,4.79781,4.79781
5.10312,5.10312,5.10312
11.492000000,3x3
5.28389,5.28389,5.28389
4.92625,4.92625,4.92625
5.22284,5.22284,5.22284
11.948000000,3x3
5.4202,5.4202,5.4202
5.07351,5.07351,5.07351
5.35734,5.35734,5.35734
12.400000000,3x3
5.56017,5.56017,5.56017
5.22478,5.22478,5.22478
5.48249,5.48249,5.48249
12.868000000,3x3
5.69933,5.69933,5.69933
5.3684,5.3684,5.3684
5.62145,5.62145,5.62145
13.336000000,3x3
5.81766,5.81766,5.81766
5.48694,5.48694,5.48694
5.75656,5.75656,5.75656
13.804000000,3x3
5.96163,5.96163,5.96163
5.6259,5.6259,5.6259
5.91152,5.91152,5.91152
14.288000000,3x3
6.0875,6.0875,6.0875
5.76249,5.76249,5.76249
6.0322,6.0322,6.0322
14.728000000,3x3
6.24607,6.24607,6.24607
5.94088,5.94088,5.94088
6.17932,6.17932,6.17932
15.168000000,3x3
6.37767,6.37767,6.37767
6.08024,6.08024,6.08024
6.30761,6.30761,6.30761
15.560000000,3x3
6.49181,6.49181,6.49181
6.19577,6.19577,6.19577
6.42114,6.42114,6.42114
16.0,3x3
6.611,6.611,6.611
6.30137,6.30137,6.30137
6.5428,6.5428,6.5428
16.492000000,3x3
6.73593,6.73593,6.73593
6.41395,6.41395,6.41395
6.68096,6.68096,6.68096
16.932000000,3x3
6.85318,6.85318,6.85318
6.53692,6.53692,6.53692
6.80104,6.80104,6.80104
17.324000000,3x3
6.97157,6.97157,6.97157
6.64938,6.64938,6.64938
6.9209,6.9209,6.9209
17.740000000,3x3
7.10963,7.10963,7.10963
6.78938,6.78938,6.78938
7.05113,7.05113,7.05113
18.148000000,3x3
7.22671,7.22671,7.22671
6.90707,6.90707,6.90707
7.16872,7.16872,7.16872
18.572000000,3x3
7.33783,7.33783,7.33783
7.01686,7.01686,7.01686
7.28987,7.28987,7.28987
18.976000000,3x3
7.44818,7.44818,7.44818
7.12991,7.12991,7.12991
7.41269,7.41269,7.41269
19.400000000,3x3
7.57586,7.57586,7.57586
7.23864,7.23864,7.23864
7.53386,7.53386,7.53386
19.836000000,3x3
7.69635,7.69635,7.69635
7.34797,7.34797,7.34797
7.65784,7.65784,7.65784
20.240000000,3x3
7.80242,7.80242,7.80242
7.44956,7.44956,7.44956
7.77919,7.77919,7.77919
20.660000000,3x3
7.85102,7.85102,7.85102
7.50697,7.50697,7.50697
7.83144,7.83144,7.83144
21.88000000,3x3
7.83731,7.83731,7.83731
7.50719,7.50719,7.50719
7.82274,7.82274,7.82274
21.460000000,3x3
7.78731,7.78731,7.78731
7.46802,7.46802,7.46802
7.77861,7.77861,7.77861
21.896000000,3x3
7.65115,7.65115,7.65115
7.33639,7.33639,7.33639
7.65049,7.65049,7.65049
22.300000000,3x3
7.71549,7.71549,7.71549
7.40666,7.40666,7.40666
7.71876,7.71876,7.71876
22.672000000,3x3
7.83231,7.83231,7.83231
7.51128,7.51128,7.51128
7.83165,7.83165,7.83165
23.84000000,3x3
7.94985,7.94985,7.94985
7.61035,7.61035,7.61035
7.94081,7.94081,7.94081
23.532000000,3x3
8.08273,8.08273,8.08273
7.73479,7.73479,7.73479
8.06176,8.06176,8.06176
23.932000000,3x3
8.2286,8.2286,8.2286
7.90845,7.90845,7.90845
8.19755,8.19755,8.19755
24.344000000,3x3
8.34907,8.34907,8.34907
8.0495,8.0495,8.0495
8.30868,8.30868,8.30868
24.740000000,3x3
8.46777,8.46777,8.46777
8.16196,8.16196,8.16196
8.4179,8.4179,8.4179
25.148000000,3x3
8.57777,8.57777,8.57777
8.24987,8.24987,8.24987
8.53037,8.53037,8.53037
25.544000000,3x3
8.69346,8.69346,8.69346
8.35691,8.35691,8.35691
8.65138,8.65138,8.65138
25.908000000,3x3
8.78762,8.78762,8.78762
8.45193,8.45193,8.45193
8.75587,8.75587,8.75587
26.320000000,3x3
8.89709,8.89709,8.89709
8.57405,8.57405,8.57405
8.88522,8.88522,8.88522
26.748000000,3x3
9.02323,9.02323,9.02323
8.70724,8.70724,8.70724
9.01565,9.01565,9.01565
27.156000000,3x3
9.1418,9.1418,9.1418
8.82592,8.82592,8.82592
9.12525,9.12525,9.12525
27.556000000,3x3
9.25652,9.25652,9.25652
8.9445,8.9445,8.9445
9.23194,9.23194,9.23194
27.964000000,3x3
9.37874,9.37874,9.37874
9.08829,9.08829,9.08829
9.34295,9.34295,9.34295
28.372000000,3x3
9.50494,9.50494,9.50494
9.26169,9.26169,9.26169
9.45738,9.45738,9.45738
28.812000000,3x3
9.64493,9.64493,9.64493
9.4611,9.4611,9.4611
9.57814,9.57814,9.57814
29.240000000,3x3
9.75624,9.75624,9.75624
9.60877,9.60877,9.60877
9.68122,9.68122,9.68122
50.100000000,3x3
12.8901,12.8901,12.8901
12.7827,12.7827,12.7827
12.4116,12.4116,12.4116
50.492000000,3x3
12.8473,12.8473,12.8473
12.7167,12.7167,12.7167
12.3612,12.3612,12.3612
50.876000000,3x3
12.8411,12.8411,12.8411
12.7054,12.7054,12.7054
12.2957,12.2957,12.2957
51.268000000,3x3
12.8492,12.8492,12.8492
12.7243,12.7243,12.7243
12.1954,12.1954,12.1954
51.700000000,3x3
12.7927,12.7927,12.7927
12.6766,12.6766,12.6766
12.0716,12.0716,12.0716
52.108000000,3x3
12.8301,12.8301,12.8301
12.7203,12.7203,12.7203
12.0535,12.0535,12.0535
52.540000000,3x3
12.8831,12.8831,12.8831
12.7775,12.7775,12.7775
12.0796,12.0796,12.0796
53.32000000,3x3
12.8984,12.8984,12.8984
12.8126,12.8126,12.8126
12.0922,12.0922,12.0922
53.500000000,3x3
12.8537,12.8537,12.8537
12.7649,12.7649,12.7649
12.1184,12.1184,12.1184
53.968000000,3x3
12.8581,12.8581,12.8581
12.758,12.758,12.758
12.1464,12.1464,12.1464
54.452000000,3x3
