stamp_ns,ns,class_id,score,meas_u,meas_v,proj_u,proj_v,reproj_px,cam_x,cam_y,cam_z,world_x,world_y,world_z,disp_med,mad,consistency
31812000000,drone1,4,0.902273,305,275,305,275,0,-0.0821918,0.191781,2.08966,3.02922,-0.154064,9.93963,11.6335,8.45888,OK_right
62392000000,drone1,4,0.903973,304,260,304,260,0,-1.34737,1.68421,32.1147,34.9137,1.53401,2.01492,0.709239,0.394256,OK_right
69328000000,drone1,3,0.901866,502,33,502,33,0,17.1294,-19.4824,35.8929,34.1024,-19.6601,-16.7938,1.0625,0.6875,MISMATCH_expected_left
69364000000,drone1,3,0.903749,511,32,511,32,0,5.65926,-6.16296,11.2996,13.8528,-6.44598,1.34478,3.375,0.625,MISMATCH_expected_left
69396000000,drone1,3,0.903821,531,32,531,32,0,14.6783,-14.4696,26.5296,25.8473,-14.6901,-11.714,1.4375,1.375,MISMATCH_expected_left
69652000000,drone1,3,0.900786,501,35,501,35,0,16.0889,-18.2222,33.8989,32.5365,-18.3977,-15.2088,1.125,0.875,MISMATCH_expected_left
69692000000,drone1,3,0.903201,498,34,498,34,0,21.9077,-25.3538,46.9369,43.3561,-25.4718,-24.572,0.8125,0.375,MISMATCH_expected_left
69724000000,drone1,3,0.903872,509,33,509,33,0,6.17143,-6.75918,12.4527,14.8494,-7.02716,0.518596,3.0625,0.9375,MISMATCH_expected_left
69756000000,drone1,3,0.903059,499,34,499,34,0,14.32,-16.48,30.509,29.805,-16.6687,-12.5345,1.25,1.1875,MISMATCH_expected_left
71084000000,drone1,3,0.900529,533,42,533,42,0,9.46667,-8.8,16.9494,18.3962,-9.05044,-3.91476,2.25,1.125,MISMATCH_expected_left
71148000000,drone1,3,0.904788,537,47,537,47,0,5.51111,-4.90159,9.6854,12.5811,-5.18256,1.97938,3.9375,3.75,MISMATCH_expected_left
71180000000,drone1,3,0.904713,532,42,532,42,0,18.8444,-17.6,33.8989,31.933,-17.7816,-17.8264,1.125,1,MISMATCH_expected_left
71208000000,drone1,3,0.904492,500,43,500,43,0,18,-19.7,38.1362,36.2479,-19.8574,-18.2534,1,0.8125,MISMATCH_expected_left
71464000000,drone1,3,0.900061,537,50,537,50,0,5.6,-4.90323,9.84161,12.7342,-5.19149,1.83106,3.875,3.1875,MISMATCH_expected_left
71596000000,drone1,3,0.910196,521,47,521,47,0,5.27213,-5.06229,10.0029,13.04,-5.35094,2.13254,3.8125,3.4375,MISMATCH_expected_left
71632000000,drone1,3,0.913791,564,46,564,46,0,0.542976,-0.431711,0.848651,5.61528,-0.758125,9.29403,44.9375,14.0625,MISMATCH_expected_left
